,busA,busB,Zaa,Zbb,Zcc,Zab,Zac,Zbc,Baa,Bbb,Bcc,Bab,Bac,Bbc
sourcez,sourcebus,sourcebusz,(0.5743393333333333+1.7234600000000002j),(0.5743393333333333+1.7234600000000002j),(0.5743393333333333+1.7234600000000002j),(0.5736053333333333+1.720523j),(0.5736053333333333+1.720523j),(0.5736053333333333+1.720523j),1.0555751316061702e-06j,1.0555751316061702e-06j,1.0555751316061702e-06j,-2.26194671058465e-07j,-2.26194671058465e-07j,-2.26194671058465e-07j
line1,1,2,(0.0001434481533333333+3.719664e-05j),(0.0001434481533333333+3.719664e-05j),(0.0001434481533333333+3.719664e-05j),(6.595515333333332e-05+1.5498599999999989e-06j),(6.595515333333332e-05+1.5498599999999989e-06j),(6.595515333333332e-05+1.5498599999999989e-06j),0j,0j,0j,0j,0j,0j
line2,2,3,(1.981429333333333e-05+5.137920000000001e-06j),(1.981429333333333e-05+5.137920000000001e-06j),(1.981429333333333e-05+5.137920000000001e-06j),(9.110293333333334e-06+2.1407999999999986e-07j),(9.110293333333334e-06+2.1407999999999986e-07j),(9.110293333333334e-06+2.1407999999999986e-07j),0j,0j,0j,0j,0j,0j
line3,3,4,(1.5287493666666666e-05+3.964104e-06j),(1.5287493666666666e-05+3.964104e-06j),(1.5287493666666666e-05+3.964104e-06j),(7.028943666666667e-06+1.6517099999999988e-07j),(7.028943666666667e-06+1.6517099999999988e-07j),(7.028943666666667e-06+1.6517099999999988e-07j),0j,0j,0j,0j,0j,0j
line4,4,5,(1.1806664333333333e-05+3.061512e-06j),(1.1806664333333333e-05+3.061512e-06j),(1.1806664333333333e-05+3.061512e-06j),(5.428514333333334e-06+1.2756299999999994e-07j),(5.428514333333334e-06+1.2756299999999994e-07j),(5.428514333333334e-06+1.2756299999999994e-07j),0j,0j,0j,0j,0j,0j
line5,5,6,(1.2192065666666664e-05+3.161448e-06j),(1.2192065666666664e-05+3.161448e-06j),(1.2192065666666664e-05+3.161448e-06j),(5.605715666666666e-06+1.317269999999999e-07j),(5.605715666666666e-06+1.317269999999999e-07j),(5.605715666666666e-06+1.317269999999999e-07j),0j,0j,0j,0j,0j,0j
line6,6,7,(1.4150170999999998e-05+3.669192e-06j),(1.4150170999999998e-05+3.669192e-06j),(1.4150170999999998e-05+3.669192e-06j),(6.506021e-06+1.528829999999999e-07j),(6.506021e-06+1.528829999999999e-07j),(6.506021e-06+1.528829999999999e-07j),0j,0j,0j,0j,0j,0j
line7,7,8,(1.3886109999999998e-05+3.60072e-06j),(1.3886109999999998e-05+3.60072e-06j),(1.3886109999999998e-05+3.60072e-06j),(6.38461e-06+1.500299999999999e-07j),(6.38461e-06+1.500299999999999e-07j),(6.38461e-06+1.500299999999999e-07j),0j,0j,0j,0j,0j,0j
line8,8,9,(0.0005847382333333332+0.0001516248j),(0.0005847382333333332+0.0001516248j),(0.0005847382333333332+0.0001516248j),(0.00026885323333333334+6.317699999999996e-06j),(0.00026885323333333334+6.317699999999996e-06j),(0.00026885323333333334+6.317699999999996e-06j),0j,0j,0j,0j,0j,0j
line9,9,10,(0.00014715500333333333+3.8157840000000005e-05j),(0.00014715500333333333+3.8157840000000005e-05j),(0.00014715500333333333+3.8157840000000005e-05j),(6.765950333333334e-05+1.589909999999999e-06j),(6.765950333333334e-05+1.589909999999999e-06j),(6.765950333333334e-05+1.589909999999999e-06j),0j,0j,0j,0j,0j,0j
