,busA,busB,Zaa,Zbb,Zcc,Zab,Zac,Zbc,Baa,Bbb,Bcc,Bab,Bac,Bbc
sourcez,sourcebus,sourcebusz,(0.5743393333333333+1.7234600000000002j),(0.5743393333333333+1.7234600000000002j),(0.5743393333333333+1.7234600000000002j),(0.5736053333333333+1.720523j),(0.5736053333333333+1.720523j),(0.5736053333333333+1.720523j),1.0555751316061702e-06j,1.0555751316061702e-06j,1.0555751316061702e-06j,-2.26194671058465e-07j,-2.26194671058465e-07j,-2.26194671058465e-07j
line1,1,2,(0.00034900745+3.3390549999999995e-05j),(0.00034900745+3.3390549999999995e-05j),(0.00034900745+3.3390549999999995e-05j),(0.00015406760000000002+2.2167999999999997e-06j),(0.00015406760000000002+2.2167999999999997e-06j),(0.00015406760000000002+2.2167999999999997e-06j),0j,0j,0j,0j,0j,0j
line2,2,3,(2.6352098666666665e-05+2.5211813333333333e-06j),(2.6352098666666665e-05+2.5211813333333333e-06j),(2.6352098666666665e-05+2.5211813333333333e-06j),(1.1633002666666669e-05+1.6738133333333332e-07j),(1.1633002666666669e-05+1.6738133333333332e-07j),(1.1633002666666669e-05+1.6738133333333332e-07j),0j,0j,0j,0j,0j,0j
line3,3,4,(3.7287917333333336e-05+3.5674426666666665e-06j),(3.7287917333333336e-05+3.5674426666666665e-06j),(3.7287917333333336e-05+3.5674426666666665e-06j),(1.6460565333333337e-05+2.3684266666666666e-07j),(1.6460565333333337e-05+2.3684266666666666e-07j),(1.6460565333333337e-05+2.3684266666666666e-07j),0j,0j,0j,0j,0j,0j
line4,4,5,(4.9312783666666666e-05+4.717896333333333e-06j),(4.9312783666666666e-05+4.717896333333333e-06j),(4.9312783666666666e-05+4.717896333333333e-06j),(2.176888266666667e-05+3.132213333333333e-07j),(2.176888266666667e-05+3.132213333333333e-07j),(2.176888266666667e-05+3.132213333333333e-07j),0j,0j,0j,0j,0j,0j
line5,5,6,(4.1347705666666664e-05+3.955854333333333e-06j),(4.1347705666666664e-05+3.955854333333333e-06j),(4.1347705666666664e-05+3.955854333333333e-06j),(1.825273866666667e-05+2.6262933333333333e-07j),(1.825273866666667e-05+2.6262933333333333e-07j),(1.825273866666667e-05+2.6262933333333333e-07j),0j,0j,0j,0j,0j,0j
line6,6,7,(3.2433804333333335e-05+3.1030356666666664e-06j),(3.2433804333333335e-05+3.1030356666666664e-06j),(3.2433804333333335e-05+3.1030356666666664e-06j),(1.4317741333333335e-05+2.0601066666666666e-07j),(1.4317741333333335e-05+2.0601066666666666e-07j),(1.4317741333333335e-05+2.0601066666666666e-07j),0j,0j,0j,0j,0j,0j
line7,7,8,(3.244388033333333e-05+3.1039996666666663e-06j),(3.244388033333333e-05+3.1039996666666663e-06j),(3.244388033333333e-05+3.1039996666666663e-06j),(1.4322189333333335e-05+2.0607466666666665e-07j),(1.4322189333333335e-05+2.0607466666666665e-07j),(1.4322189333333335e-05+2.0607466666666665e-07j),0j,0j,0j,0j,0j,0j
line8,8,9,(3.244472e-05+3.10408e-06j),(3.244472e-05+3.10408e-06j),(3.244472e-05+3.10408e-06j),(1.4322560000000001e-05+2.0607999999999998e-07j),(1.4322560000000001e-05+2.0607999999999998e-07j),(1.4322560000000001e-05+2.0607999999999998e-07j),0j,0j,0j,0j,0j,0j
line9,9,10,(2.9685575333333327e-05+2.840104666666666e-06j),(2.9685575333333327e-05+2.840104666666666e-06j),(2.9685575333333327e-05+2.840104666666666e-06j),(1.3104549333333333e-05+1.8855466666666664e-07j),(1.3104549333333333e-05+1.8855466666666664e-07j),(1.3104549333333333e-05+1.8855466666666664e-07j),0j,0j,0j,0j,0j,0j
