,busA,busB,Zaa,Zbb,Zcc,Zab,Zac,Zbc,Baa,Bbb,Bcc,Bab,Bac,Bbc
sourcez,sourcebus,sourcebusz,(0.5743393333333333+1.7234600000000002j),(0.5743393333333333+1.7234600000000002j),(0.5743393333333333+1.7234600000000002j),(0.5736053333333333+1.720523j),(0.5736053333333333+1.720523j),(0.5736053333333333+1.720523j),1.0555751316061702e-06j,1.0555751316061702e-06j,1.0555751316061702e-06j,-2.26194671058465e-07j,-2.26194671058465e-07j,-2.26194671058465e-07j
line1,1,2,(0.00013698999999999997+4.308833333333333e-05j),(0.00013698999999999997+4.308833333333333e-05j),(0.00013698999999999997+4.308833333333333e-05j),(8.445999999999999e-05+5.493333333333333e-06j),(8.445999999999999e-05+5.493333333333333e-06j),(8.445999999999999e-05+5.493333333333333e-06j),0j,0j,0j,0j,0j,0j
line2,2,3,(2.4846262e-05+7.815052333333333e-06j),(2.4846262e-05+7.815052333333333e-06j),(2.4846262e-05+7.815052333333333e-06j),(1.5318747999999997e-05+9.963413333333333e-07j),(1.5318747999999997e-05+9.963413333333333e-07j),(1.5318747999999997e-05+9.963413333333333e-07j),0j,0j,0j,0j,0j,0j
line3,3,4,(2.5094439999999994e-05+7.893113333333333e-06j),(2.5094439999999994e-05+7.893113333333333e-06j),(2.5094439999999994e-05+7.893113333333333e-06j),(1.5471759999999997e-05+1.0062933333333332e-06j),(1.5471759999999997e-05+1.0062933333333332e-06j),(1.5471759999999997e-05+1.0062933333333332e-06j),0j,0j,0j,0j,0j,0j
line4,4,5,(2.4880575999999995e-05+7.825845333333332e-06j),(2.4880575999999995e-05+7.825845333333332e-06j),(2.4880575999999995e-05+7.825845333333332e-06j),(1.5339903999999996e-05+9.977173333333332e-07j),(1.5339903999999996e-05+9.977173333333332e-07j),(1.5339903999999996e-05+9.977173333333332e-07j),0j,0j,0j,0j,0j,0j
line5,5,6,(2.4818065999999996e-05+7.806183666666666e-06j),(2.4818065999999996e-05+7.806183666666666e-06j),(2.4818065999999996e-05+7.806183666666666e-06j),(1.5301363999999997e-05+9.952106666666666e-07j),(1.5301363999999997e-05+9.952106666666666e-07j),(1.5301363999999997e-05+9.952106666666666e-07j),0j,0j,0j,0j,0j,0j
line6,6,7,(2.4753693999999997e-05+7.785936333333333e-06j),(2.4753693999999997e-05+7.785936333333333e-06j),(2.4753693999999997e-05+7.785936333333333e-06j),(1.5261675999999998e-05+9.926293333333333e-07j),(1.5261675999999998e-05+9.926293333333333e-07j),(1.5261675999999998e-05+9.926293333333333e-07j),0j,0j,0j,0j,0j,0j
line7,7,8,(2.5135403999999994e-05+7.905998e-06j),(2.5135403999999994e-05+7.905998e-06j),(2.5135403999999994e-05+7.905998e-06j),(1.5497015999999998e-05+1.0079359999999998e-06j),(1.5497015999999998e-05+1.0079359999999998e-06j),(1.5497015999999998e-05+1.0079359999999998e-06j),0j,0j,0j,0j,0j,0j
line8,8,9,(2.4761141999999997e-05+7.788279e-06j),(2.4761141999999997e-05+7.788279e-06j),(2.4761141999999997e-05+7.788279e-06j),(1.5266268e-05+9.92928e-07j),(1.5266268e-05+9.92928e-07j),(1.5266268e-05+9.92928e-07j),0j,0j,0j,0j,0j,0j
line9,9,10,(2.4988305999999996e-05+7.859730333333332e-06j),(2.4988305999999996e-05+7.859730333333332e-06j),(2.4988305999999996e-05+7.859730333333332e-06j),(1.5406323999999997e-05+1.0020373333333332e-06j),(1.5406323999999997e-05+1.0020373333333332e-06j),(1.5406323999999997e-05+1.0020373333333332e-06j),0j,0j,0j,0j,0j,0j
