,busA,busB,Zaa,Zbb,Zcc,Zab,Zac,Zbc,Baa,Bbb,Bcc,Bab,Bac,Bbc
sourcez,sourcebus,sourcebusz,(0.5743393333333333+1.7234600000000002j),(0.5743393333333333+1.7234600000000002j),(0.5743393333333333+1.7234600000000002j),(0.5736053333333333+1.720523j),(0.5736053333333333+1.720523j),(0.5736053333333333+1.720523j),1.0555751316061702e-06j,1.0555751316061702e-06j,1.0555751316061702e-06j,-2.26194671058465e-07j,-2.26194671058465e-07j,-2.26194671058465e-07j
line1,1,2,(0.00029404899999999995+7.624799999999999e-05j),(0.00029404899999999995+7.624799999999999e-05j),(0.00029404899999999995+7.624799999999999e-05j),(0.000135199+3.1769999999999977e-06j),(0.000135199+3.1769999999999977e-06j),(0.000135199+3.1769999999999977e-06j),0j,0j,0j,0j,0j,0j
line2,2,3,(1.4277619999999998e-05+3.70224e-06j),(1.4277619999999998e-05+3.70224e-06j),(1.4277619999999998e-05+3.70224e-06j),(6.5646199999999995e-06+1.542599999999999e-07j),(6.5646199999999995e-06+1.542599999999999e-07j),(6.5646199999999995e-06+1.542599999999999e-07j),0j,0j,0j,0j,0j,0j
line3,3,4,(1.5402447666666665e-05+3.993912e-06j),(1.5402447666666665e-05+3.993912e-06j),(1.5402447666666665e-05+3.993912e-06j),(7.081797666666666e-06+1.664129999999999e-07j),(7.081797666666666e-06+1.664129999999999e-07j),(7.081797666666666e-06+1.664129999999999e-07j),0j,0j,0j,0j,0j,0j
line4,4,5,(1.5904746666666662e-05+4.12416e-06j),(1.5904746666666662e-05+4.12416e-06j),(1.5904746666666662e-05+4.12416e-06j),(7.312746666666666e-06+1.7183999999999988e-07j),(7.312746666666666e-06+1.7183999999999988e-07j),(7.312746666666666e-06+1.7183999999999988e-07j),0j,0j,0j,0j,0j,0j
line5,5,6,(1.8131355666666664e-05+4.701528e-06j),(1.8131355666666664e-05+4.701528e-06j),(1.8131355666666664e-05+4.701528e-06j),(8.336505666666665e-06+1.9589699999999986e-07j),(8.336505666666665e-06+1.9589699999999986e-07j),(8.336505666666665e-06+1.9589699999999986e-07j),0j,0j,0j,0j,0j,0j
line6,6,7,(1.530193233333333e-05+3.967848e-06j),(1.530193233333333e-05+3.967848e-06j),(1.530193233333333e-05+3.967848e-06j),(7.035582333333333e-06+1.6532699999999988e-07j),(7.035582333333333e-06+1.6532699999999988e-07j),(7.035582333333333e-06+1.6532699999999988e-07j),0j,0j,0j,0j,0j,0j
line7,7,8,(8.612109333333331e-06+2.233152e-06j),(8.612109333333331e-06+2.233152e-06j),(8.612109333333331e-06+2.233152e-06j),(3.959709333333333e-06+9.304799999999993e-08j),(3.959709333333333e-06+9.304799999999993e-08j),(3.959709333333333e-06+9.304799999999993e-08j),0j,0j,0j,0j,0j,0j
line8,8,9,(0.00030912629999999995+8.01576e-05j),(0.00030912629999999995+8.01576e-05j),(0.00030912629999999995+8.01576e-05j),(0.00014213129999999998+3.3398999999999974e-06j),(0.00014213129999999998+3.3398999999999974e-06j),(0.00014213129999999998+3.3398999999999974e-06j),0j,0j,0j,0j,0j,0j
line9,9,10,(0.0003842073666666666+9.96264e-05j),(0.0003842073666666666+9.96264e-05j),(0.0003842073666666666+9.96264e-05j),(0.00017665236666666666+4.1510999999999966e-06j),(0.00017665236666666666+4.1510999999999966e-06j),(0.00017665236666666666+4.1510999999999966e-06j),0j,0j,0j,0j,0j,0j
line10,10,11,(6.716756666666665e-05+1.7416800000000002e-05j),(6.716756666666665e-05+1.7416800000000002e-05j),(6.716756666666665e-05+1.7416800000000002e-05j),(3.088256666666667e-05+7.256999999999996e-07j),(3.088256666666667e-05+7.256999999999996e-07j),(3.088256666666667e-05+7.256999999999996e-07j),0j,0j,0j,0j,0j,0j
line11,11,12,(7.234604999999999e-05+1.87596e-05j),(7.234604999999999e-05+1.87596e-05j),(7.234604999999999e-05+1.87596e-05j),(3.326355e-05+7.816499999999994e-07j),(3.326355e-05+7.816499999999994e-07j),(3.326355e-05+7.816499999999994e-07j),0j,0j,0j,0j,0j,0j
