,busA,busB,Zaa,Zbb,Zcc,Zab,Zac,Zbc,Baa,Bbb,Bcc,Bab,Bac,Bbc
sourcez,sourcebus,sourcebusz,(0.5743393333333333+1.7234600000000002j),(0.5743393333333333+1.7234600000000002j),(0.5743393333333333+1.7234600000000002j),(0.5736053333333333+1.720523j),(0.5736053333333333+1.720523j),(0.5736053333333333+1.720523j),1.0555751316061702e-06j,1.0555751316061702e-06j,1.0555751316061702e-06j,-2.26194671058465e-07j,-2.26194671058465e-07j,-2.26194671058465e-07j
line1,1,2,(6.894022666666665e-05+1.0292999999999998e-05j),(6.894022666666665e-05+1.0292999999999998e-05j),(6.894022666666665e-05+1.0292999999999998e-05j),(3.133646666666667e-05+2.744800000000002e-07j),(3.133646666666667e-05+2.744800000000002e-07j),(3.133646666666667e-05+2.744800000000002e-07j),0j,0j,0j,0j,0j,0j
line2,2,3,(2.6054020666666662e-05+3.889949999999999e-06j),(2.6054020666666662e-05+3.889949999999999e-06j),(2.6054020666666662e-05+3.889949999999999e-06j),(1.1842736666666666e-05+1.0373200000000008e-07j),(1.1842736666666666e-05+1.0373200000000008e-07j),(1.1842736666666666e-05+1.0373200000000008e-07j),0j,0j,0j,0j,0j,0j
line3,3,4,(1.9094694666666662e-05+2.850899999999999e-06j),(1.9094694666666662e-05+2.850899999999999e-06j),(1.9094694666666662e-05+2.850899999999999e-06j),(8.679406666666665e-06+7.602400000000006e-08j),(8.679406666666665e-06+7.602400000000006e-08j),(8.679406666666665e-06+7.602400000000006e-08j),0j,0j,0j,0j,0j,0j
line4,4,5,(2.2380959333333332e-05+3.3415499999999994e-06j),(2.2380959333333332e-05+3.3415499999999994e-06j),(2.2380959333333332e-05+3.3415499999999994e-06j),(1.0173163333333333e-05+8.910800000000007e-08j),(1.0173163333333333e-05+8.910800000000007e-08j),(1.0173163333333333e-05+8.910800000000007e-08j),0j,0j,0j,0j,0j,0j
line5,5,6,(2.290991633333333e-05+3.4205249999999993e-06j),(2.290991633333333e-05+3.4205249999999993e-06j),(2.290991633333333e-05+3.4205249999999993e-06j),(1.0413598333333332e-05+9.121400000000008e-08j),(1.0413598333333332e-05+9.121400000000008e-08j),(1.0413598333333332e-05+9.121400000000008e-08j),0j,0j,0j,0j,0j,0j
line6,6,7,(3.1014059999999996e-05+4.630499999999999e-06j),(3.1014059999999996e-05+4.630499999999999e-06j),(3.1014059999999996e-05+4.630499999999999e-06j),(1.40973e-05+1.234800000000001e-07j),(1.40973e-05+1.234800000000001e-07j),(1.40973e-05+1.234800000000001e-07j),0j,0j,0j,0j,0j,0j
line7,7,8,(2.453195066666666e-05+3.662699999999999e-06j),(2.453195066666666e-05+3.662699999999999e-06j),(2.453195066666666e-05+3.662699999999999e-06j),(1.1150886666666665e-05+9.767200000000007e-08j),(1.1150886666666665e-05+9.767200000000007e-08j),(1.1150886666666665e-05+9.767200000000007e-08j),0j,0j,0j,0j,0j,0j
line8,8,9,(1.8647617999999997e-05+2.7841499999999994e-06j),(1.8647617999999997e-05+2.7841499999999994e-06j),(1.8647617999999997e-05+2.7841499999999994e-06j),(8.47619e-06+7.424400000000007e-08j),(8.47619e-06+7.424400000000007e-08j),(8.47619e-06+7.424400000000007e-08j),0j,0j,0j,0j,0j,0j
line9,9,10,(2.8575733999999994e-05+4.266449999999999e-06j),(2.8575733999999994e-05+4.266449999999999e-06j),(2.8575733999999994e-05+4.266449999999999e-06j),(1.2988969999999998e-05+1.1377200000000009e-07j),(1.2988969999999998e-05+1.1377200000000009e-07j),(1.2988969999999998e-05+1.1377200000000009e-07j),0j,0j,0j,0j,0j,0j
line10,10,11,(0.0014265764333333331+0.00021299249999999994j),(0.0014265764333333331+0.00021299249999999994j),(0.0014265764333333331+0.00021299249999999994j),(0.0006484438333333333+5.6798000000000045e-06j),(0.0006484438333333333+5.6798000000000045e-06j),(0.0006484438333333333+5.6798000000000045e-06j),0j,0j,0j,0j,0j,0j
line11,11,12,(3.213727733333333e-05+4.798199999999999e-06j),(3.213727733333333e-05+4.798199999999999e-06j),(3.213727733333333e-05+4.798199999999999e-06j),(1.4607853333333334e-05+1.279520000000001e-07j),(1.4607853333333334e-05+1.279520000000001e-07j),(1.4607853333333334e-05+1.279520000000001e-07j),0j,0j,0j,0j,0j,0j
line12,12,13,(2.2033846999999998e-05+3.2897249999999992e-06j),(2.2033846999999998e-05+3.2897249999999992e-06j),(2.2033846999999998e-05+3.2897249999999992e-06j),(1.0015385e-05+8.772600000000007e-08j),(1.0015385e-05+8.772600000000007e-08j),(1.0015385e-05+8.772600000000007e-08j),0j,0j,0j,0j,0j,0j
