,busA,busB,Zaa,Zbb,Zcc,Zab,Zac,Zbc,Baa,Bbb,Bcc,Bab,Bac,Bbc
sourcez,sourcebus,sourcebusz,(0.5743393333333333+1.7234600000000002j),(0.5743393333333333+1.7234600000000002j),(0.5743393333333333+1.7234600000000002j),(0.5736053333333333+1.720523j),(0.5736053333333333+1.720523j),(0.5736053333333333+1.720523j),1.0555751316061702e-06j,1.0555751316061702e-06j,1.0555751316061702e-06j,-2.26194671058465e-07j,-2.26194671058465e-07j,-2.26194671058465e-07j
line1,1,2,(0.00031153086+5.593509e-05j),(0.00031153086+5.593509e-05j),(0.00031153086+5.593509e-05j),(0.00013845816+4.01328e-06j),(0.00013845816+4.01328e-06j),(0.00013845816+4.01328e-06j),0j,0j,0j,0j,0j,0j
line2,2,3,(2.4089832e-05+4.325307999999999e-06j),(2.4089832e-05+4.325307999999999e-06j),(2.4089832e-05+4.325307999999999e-06j),(1.0706592e-05+3.1033599999999995e-07j),(1.0706592e-05+3.1033599999999995e-07j),(1.0706592e-05+3.1033599999999995e-07j),0j,0j,0j,0j,0j,0j
line3,3,4,(2.0044638e-05+3.598997e-06j),(2.0044638e-05+3.598997e-06j),(2.0044638e-05+3.598997e-06j),(8.908728e-06+2.58224e-07j),(8.908728e-06+2.58224e-07j),(8.908728e-06+2.58224e-07j),0j,0j,0j,0j,0j,0j
line4,4,5,(2.0201129999999997e-05+3.6270949999999996e-06j),(2.0201129999999997e-05+3.6270949999999996e-06j),(2.0201129999999997e-05+3.6270949999999996e-06j),(8.97828e-06+2.6023999999999995e-07j),(8.97828e-06+2.6023999999999995e-07j),(8.97828e-06+2.6023999999999995e-07j),0j,0j,0j,0j,0j,0j
line5,5,6,(1.8486756e-05+3.3192806666666663e-06j),(1.8486756e-05+3.3192806666666663e-06j),(1.8486756e-05+3.3192806666666663e-06j),(8.216336e-06+2.3815466666666664e-07j),(8.216336e-06+2.3815466666666664e-07j),(8.216336e-06+2.3815466666666664e-07j),0j,0j,0j,0j,0j,0j
line6,6,7,(2.2294728e-05+4.002998666666666e-06j),(2.2294728e-05+4.002998666666666e-06j),(2.2294728e-05+4.002998666666666e-06j),(9.908768e-06+2.872106666666666e-07j),(9.908768e-06+2.872106666666666e-07j),(9.908768e-06+2.872106666666666e-07j),0j,0j,0j,0j,0j,0j
line7,7,8,(1.899846e-05+3.4111566666666664e-06j),(1.899846e-05+3.4111566666666664e-06j),(1.899846e-05+3.4111566666666664e-06j),(8.44376e-06+2.4474666666666665e-07j),(8.44376e-06+2.4474666666666665e-07j),(8.44376e-06+2.4474666666666665e-07j),0j,0j,0j,0j,0j,0j
line8,8,9,(1.532421e-05+2.7514483333333332e-06j),(1.532421e-05+2.7514483333333332e-06j),(1.532421e-05+2.7514483333333332e-06j),(6.81076e-06+1.974133333333333e-07j),(6.81076e-06+1.974133333333333e-07j),(6.81076e-06+1.974133333333333e-07j),0j,0j,0j,0j,0j,0j
line9,9,10,(2.5059834e-05+4.499471e-06j),(2.5059834e-05+4.499471e-06j),(2.5059834e-05+4.499471e-06j),(1.1137704000000001e-05+3.22832e-07j),(1.1137704000000001e-05+3.22832e-07j),(1.1137704000000001e-05+3.22832e-07j),0j,0j,0j,0j,0j,0j
