,name,number,v_base,load_type,connect,Pa,Pb,Pc,Qa,Qb,Qc
sourcebus,sourcebus,0,240.17771198288432,S,Y,0.0,0.0,0.0,0.0,0.0,0.0
sourcebusz,sourcebusz,1,240.17771198288432,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0
1,1,2,240.17771198288432,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0
2,2,3,240.17771198288432,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0
3,3,4,240.17771198288432,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0
4,4,5,240.17771198288432,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0
5,5,6,240.17771198288432,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0
6,6,7,240.17771198288432,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0
7,7,8,240.17771198288432,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0
8,8,9,240.17771198288432,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0
9,9,10,240.17771198288432,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0
10,10,11,240.17771198288432,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0
11,11,12,240.17771198288432,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0
12,12,13,240.17771198288432,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0
13,13,14,240.17771198288432,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0
14,14,15,240.17771198288432,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0
15,15,16,240.17771198288432,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0
16,16,17,240.17771198288432,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0
17,17,18,240.17771198288432,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0
18,18,19,240.17771198288432,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0
19,19,20,240.17771198288432,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0
20,20,21,240.17771198288432,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0
21,21,22,240.17771198288432,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0
22,22,23,240.17771198288432,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0
23,23,24,240.17771198288432,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0
24,24,25,240.17771198288432,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0
25,25,26,240.17771198288432,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0
26,26,27,240.17771198288432,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0
27,27,28,240.17771198288432,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0
28,28,29,240.17771198288432,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0
29,29,30,240.17771198288432,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0
30,30,31,240.17771198288432,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0
31,31,32,240.17771198288432,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0
32,32,33,240.17771198288432,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0
33,33,34,240.17771198288432,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0
34,34,35,240.17771198288432,PQ,Y,1.0,0.0,0.0,0.3286841051788632,0.0,0.0
35,35,36,240.17771198288432,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0
36,36,37,240.17771198288432,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0
37,37,38,240.17771198288432,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0
38,38,39,240.17771198288432,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0
39,39,40,240.17771198288432,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0
40,40,41,240.17771198288432,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0
41,41,42,240.17771198288432,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0
42,42,43,240.17771198288432,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0
43,43,44,240.17771198288432,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0
44,44,45,240.17771198288432,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0
45,45,46,240.17771198288432,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0
46,46,47,240.17771198288432,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0
47,47,48,240.17771198288432,PQ,Y,0.0,1.0,0.0,0.0,0.3286841051788632,0.0
48,48,49,240.17771198288432,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0
49,49,50,240.17771198288432,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0
50,50,51,240.17771198288432,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0
51,51,52,240.17771198288432,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0
52,52,53,240.17771198288432,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0
53,53,54,240.17771198288432,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0
54,54,55,240.17771198288432,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0
55,55,56,240.17771198288432,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0
56,56,57,240.17771198288432,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0
57,57,58,240.17771198288432,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0
58,58,59,240.17771198288432,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0
59,59,60,240.17771198288432,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0
60,60,61,240.17771198288432,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0
61,61,62,240.17771198288432,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0
62,62,63,240.17771198288432,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0
63,63,64,240.17771198288432,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0
64,64,65,240.17771198288432,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0
65,65,66,240.17771198288432,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0
66,66,67,240.17771198288432,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0
67,67,68,240.17771198288432,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0
68,68,69,240.17771198288432,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0
69,69,70,240.17771198288432,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0
70,70,71,240.17771198288432,PQ,Y,1.0,0.0,0.0,0.3286841051788632,0.0,0.0
71,71,72,240.17771198288432,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0
72,72,73,240.17771198288432,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0
73,73,74,240.17771198288432,PQ,Y,1.0,0.0,0.0,0.3286841051788632,0.0,0.0
74,74,75,240.17771198288432,PQ,Y,1.0,0.0,0.0,0.3286841051788632,0.0,0.0
75,75,76,240.17771198288432,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0
76,76,77,240.17771198288432,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0
77,77,78,240.17771198288432,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0
78,78,79,240.17771198288432,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0
79,79,80,240.17771198288432,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0
80,80,81,240.17771198288432,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0
81,81,82,240.17771198288432,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0
82,82,83,240.17771198288432,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0
83,83,84,240.17771198288432,PQ,Y,0.0,1.0,0.0,0.0,0.3286841051788632,0.0
84,84,85,240.17771198288432,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0
85,85,86,240.17771198288432,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0
86,86,87,240.17771198288432,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0
87,87,88,240.17771198288432,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0
88,88,89,240.17771198288432,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0
89,89,90,240.17771198288432,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0
90,90,91,240.17771198288432,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0
91,91,92,240.17771198288432,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0
92,92,93,240.17771198288432,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0
93,93,94,240.17771198288432,0.0,Y,0.0,0.0,0.0,0.0,0.0,0.0
