,busA,busB,Zaa,Zbb,Zcc,Zab,Zac,Zbc,Baa,Bbb,Bcc,Bab,Bac,Bbc
sourcez,sourcebus,sourcebusz,(0.5743393333333333+1.7234600000000002j),(0.5743393333333333+1.7234600000000002j),(0.5743393333333333+1.7234600000000002j),(0.5736053333333333+1.720523j),(0.5736053333333333+1.720523j),(0.5736053333333333+1.720523j),1.0555751316061702e-06j,1.0555751316061702e-06j,1.0555751316061702e-06j,-2.26194671058465e-07j,-2.26194671058465e-07j,-2.26194671058465e-07j
line1,1,2,(0.0002945230566666666+4.397324999999999e-05j),(0.0002945230566666666+4.397324999999999e-05j),(0.0002945230566666666+4.397324999999999e-05j),(0.00013387411666666667+1.172620000000001e-06j),(0.00013387411666666667+1.172620000000001e-06j),(0.00013387411666666667+1.172620000000001e-06j),0j,0j,0j,0j,0j,0j
line2,2,3,(3.377237233333333e-05+5.042324999999998e-06j),(3.377237233333333e-05+5.042324999999998e-06j),(3.377237233333333e-05+5.042324999999998e-06j),(1.5351078333333332e-05+1.344620000000001e-07j),(1.5351078333333332e-05+1.344620000000001e-07j),(1.5351078333333332e-05+1.344620000000001e-07j),0j,0j,0j,0j,0j,0j
line3,3,4,(6.145043666666665e-05+9.174749999999997e-06j),(6.145043666666665e-05+9.174749999999997e-06j),(6.145043666666665e-05+9.174749999999997e-06j),(2.7932016666666663e-05+2.446600000000002e-07j),(2.7932016666666663e-05+2.446600000000002e-07j),(2.7932016666666663e-05+2.446600000000002e-07j),0j,0j,0j,0j,0j,0j
line4,4,5,(2.1693767333333332e-05+3.2389499999999993e-06j),(2.1693767333333332e-05+3.2389499999999993e-06j),(2.1693767333333332e-05+3.2389499999999993e-06j),(9.860803333333334e-06+8.637200000000008e-08j),(9.860803333333334e-06+8.637200000000008e-08j),(9.860803333333334e-06+8.637200000000008e-08j),0j,0j,0j,0j,0j,0j
line5,5,6,(2.0614252999999995e-05+3.077774999999999e-06j),(2.0614252999999995e-05+3.077774999999999e-06j),(2.0614252999999995e-05+3.077774999999999e-06j),(9.370114999999998e-06+8.207400000000006e-08j),(9.370114999999998e-06+8.207400000000006e-08j),(9.370114999999998e-06+8.207400000000006e-08j),0j,0j,0j,0j,0j,0j
line6,6,7,(4.260389466666666e-05+6.360899999999998e-06j),(4.260389466666666e-05+6.360899999999998e-06j),(4.260389466666666e-05+6.360899999999998e-06j),(1.9365406666666665e-05+1.6962400000000014e-07j),(1.9365406666666665e-05+1.6962400000000014e-07j),(1.9365406666666665e-05+1.6962400000000014e-07j),0j,0j,0j,0j,0j,0j
line7,7,8,(2.257686933333333e-05+3.370799999999999e-06j),(2.257686933333333e-05+3.370799999999999e-06j),(2.257686933333333e-05+3.370799999999999e-06j),(1.0262213333333332e-05+8.988800000000007e-08j),(1.0262213333333332e-05+8.988800000000007e-08j),(1.0262213333333332e-05+8.988800000000007e-08j),0j,0j,0j,0j,0j,0j
line8,8,9,(2.6400128333333328e-05+3.941624999999999e-06j),(2.6400128333333328e-05+3.941624999999999e-06j),(2.6400128333333328e-05+3.941624999999999e-06j),(1.2000058333333332e-05+1.0511000000000009e-07j),(1.2000058333333332e-05+1.0511000000000009e-07j),(1.2000058333333332e-05+1.0511000000000009e-07j),0j,0j,0j,0j,0j,0j
line9,9,10,(2.6600056999999995e-05+3.971474999999999e-06j),(2.6600056999999995e-05+3.971474999999999e-06j),(2.6600056999999995e-05+3.971474999999999e-06j),(1.2090934999999999e-05+1.0590600000000009e-07j),(1.2090934999999999e-05+1.0590600000000009e-07j),(1.2090934999999999e-05+1.0590600000000009e-07j),0j,0j,0j,0j,0j,0j
