,busA,busB,Zaa,Zbb,Zcc,Zab,Zac,Zbc,Baa,Bbb,Bcc,Bab,Bac,Bbc
sourcez,sourcebus,sourcebusz,(0.5743393333333333+1.7234600000000002j),(0.5743393333333333+1.7234600000000002j),(0.5743393333333333+1.7234600000000002j),(0.5736053333333333+1.720523j),(0.5736053333333333+1.720523j),(0.5736053333333333+1.720523j),1.0555751316061702e-06j,1.0555751316061702e-06j,1.0555751316061702e-06j,-2.26194671058465e-07j,-2.26194671058465e-07j,-2.26194671058465e-07j
line1,1,2,(8.057053666666666e-05+2.089224e-05j),(8.057053666666666e-05+2.089224e-05j),(8.057053666666666e-05+2.089224e-05j),(3.704503666666666e-05+8.705099999999994e-07j),(3.704503666666666e-05+8.705099999999994e-07j),(3.704503666666666e-05+8.705099999999994e-07j),0j,0j,0j,0j,0j,0j
line2,2,3,(1.2799877999999997e-05+3.319056e-06j),(1.2799877999999997e-05+3.319056e-06j),(1.2799877999999997e-05+3.319056e-06j),(5.885178e-06+1.382939999999999e-07j),(5.885178e-06+1.382939999999999e-07j),(5.885178e-06+1.382939999999999e-07j),0j,0j,0j,0j,0j,0j
line3,3,4,(1.3788648999999998e-05+3.575448e-06j),(1.3788648999999998e-05+3.575448e-06j),(1.3788648999999998e-05+3.575448e-06j),(6.339799e-06+1.489769999999999e-07j),(6.339799e-06+1.489769999999999e-07j),(6.339799e-06+1.489769999999999e-07j),0j,0j,0j,0j,0j,0j
line4,4,5,(9.108021999999998e-06+2.3617439999999997e-06j),(9.108021999999998e-06+2.3617439999999997e-06j),(9.108021999999998e-06+2.3617439999999997e-06j),(4.187722e-06+9.840599999999992e-08j),(4.187722e-06+9.840599999999992e-08j),(4.187722e-06+9.840599999999992e-08j),0j,0j,0j,0j,0j,0j
line5,5,6,(1.0814838999999997e-05+2.804328e-06j),(1.0814838999999997e-05+2.804328e-06j),(1.0814838999999997e-05+2.804328e-06j),(4.972488999999999e-06+1.1684699999999991e-07j),(4.972488999999999e-06+1.1684699999999991e-07j),(4.972488999999999e-06+1.1684699999999991e-07j),0j,0j,0j,0j,0j,0j
line6,6,7,(1.2333397999999997e-05+3.198096e-06j),(1.2333397999999997e-05+3.198096e-06j),(1.2333397999999997e-05+3.198096e-06j),(5.670697999999999e-06+1.332539999999999e-07j),(5.670697999999999e-06+1.332539999999999e-07j),(5.670697999999999e-06+1.332539999999999e-07j),0j,0j,0j,0j,0j,0j
line7,7,8,(1.2820980666666665e-05+3.324528e-06j),(1.2820980666666665e-05+3.324528e-06j),(1.2820980666666665e-05+3.324528e-06j),(5.894880666666667e-06+1.385219999999999e-07j),(5.894880666666667e-06+1.385219999999999e-07j),(5.894880666666667e-06+1.385219999999999e-07j),0j,0j,0j,0j,0j,0j
line8,8,9,(1.555932933333333e-05+4.034592e-06j),(1.555932933333333e-05+4.034592e-06j),(1.555932933333333e-05+4.034592e-06j),(7.1539293333333335e-06+1.6810799999999988e-07j),(7.1539293333333335e-06+1.6810799999999988e-07j),(7.1539293333333335e-06+1.6810799999999988e-07j),0j,0j,0j,0j,0j,0j
line9,9,10,(0.0006799223666666666+0.00017630640000000002j),(0.0006799223666666666+0.00017630640000000002j),(0.0006799223666666666+0.00017630640000000002j),(0.00031261736666666665+7.346099999999996e-06j),(0.00031261736666666665+7.346099999999996e-06j),(0.00031261736666666665+7.346099999999996e-06j),0j,0j,0j,0j,0j,0j
line10,10,11,(5.360077333333332e-05+1.389888e-05j),(5.360077333333332e-05+1.389888e-05j),(5.360077333333332e-05+1.389888e-05j),(2.464477333333333e-05+5.791199999999996e-07j),(2.464477333333333e-05+5.791199999999996e-07j),(2.464477333333333e-05+5.791199999999996e-07j),0j,0j,0j,0j,0j,0j
line11,11,12,(0.0001712536933333333+4.440672e-05j),(0.0001712536933333333+4.440672e-05j),(0.0001712536933333333+4.440672e-05j),(7.873969333333332e-05+1.8502799999999987e-06j),(7.873969333333332e-05+1.8502799999999987e-06j),(7.873969333333332e-05+1.8502799999999987e-06j),0j,0j,0j,0j,0j,0j
line12,12,13,(3.205106333333333e-05+8.310960000000001e-06j),(3.205106333333333e-05+8.310960000000001e-06j),(3.205106333333333e-05+8.310960000000001e-06j),(1.4736563333333334e-05+3.462899999999998e-07j),(1.4736563333333334e-05+3.462899999999998e-07j),(1.4736563333333334e-05+3.462899999999998e-07j),0j,0j,0j,0j,0j,0j
line13,13,14,(1.8428736666666663e-05+4.77864e-06j),(1.8428736666666663e-05+4.77864e-06j),(1.8428736666666663e-05+4.77864e-06j),(8.473236666666667e-06+1.9910999999999986e-07j),(8.473236666666667e-06+1.9910999999999986e-07j),(8.473236666666667e-06+1.9910999999999986e-07j),0j,0j,0j,0j,0j,0j
line14,14,15,(2.2358552999999994e-05+5.797656e-06j),(2.2358552999999994e-05+5.797656e-06j),(2.2358552999999994e-05+5.797656e-06j),(1.0280103e-05+2.415689999999998e-07j),(1.0280103e-05+2.415689999999998e-07j),(1.0280103e-05+2.415689999999998e-07j),0j,0j,0j,0j,0j,0j
line15,15,16,(2.7766666666666663e-05+7.2000000000000005e-06j),(2.7766666666666663e-05+7.2000000000000005e-06j),(2.7766666666666663e-05+7.2000000000000005e-06j),(1.2766666666666668e-05+2.9999999999999983e-07j),(1.2766666666666668e-05+2.9999999999999983e-07j),(1.2766666666666668e-05+2.9999999999999983e-07j),0j,0j,0j,0j,0j,0j
line16,16,17,(3.7893169999999996e-05+9.825840000000001e-06j),(3.7893169999999996e-05+9.825840000000001e-06j),(3.7893169999999996e-05+9.825840000000001e-06j),(1.742267e-05+4.0940999999999975e-07j),(1.742267e-05+4.0940999999999975e-07j),(1.742267e-05+4.0940999999999975e-07j),0j,0j,0j,0j,0j,0j
line17,17,18,(0.0009742767999999998+0.0002526336j),(0.0009742767999999998+0.0002526336j),(0.0009742767999999998+0.0002526336j),(0.00044795679999999995+1.0526399999999993e-05j),(0.00044795679999999995+1.0526399999999993e-05j),(0.00044795679999999995+1.0526399999999993e-05j),0j,0j,0j,0j,0j,0j
line18,18,19,(0.0007978196333333332+0.0002068776j),(0.0007978196333333332+0.0002068776j),(0.0007978196333333332+0.0002068776j),(0.00036682463333333334+8.619899999999993e-06j),(0.00036682463333333334+8.619899999999993e-06j),(0.00036682463333333334+8.619899999999993e-06j),0j,0j,0j,0j,0j,0j
line19,19,20,(0.00025768299666666664+6.681816000000001e-05j),(0.00025768299666666664+6.681816000000001e-05j),(0.00025768299666666664+6.681816000000001e-05j),(0.00011847849666666667+2.784089999999998e-06j),(0.00011847849666666667+2.784089999999998e-06j),(0.00011847849666666667+2.784089999999998e-06j),0j,0j,0j,0j,0j,0j
line20,20,21,(0.0004995778666666666+0.0001295424j),(0.0004995778666666666+0.0001295424j),(0.0004995778666666666+0.0001295424j),(0.00022969786666666663+5.397599999999996e-06j),(0.00022969786666666663+5.397599999999996e-06j),(0.00022969786666666663+5.397599999999996e-06j),0j,0j,0j,0j,0j,0j
line21,21,22,(0.00023593614333333328+6.117912e-05j),(0.00023593614333333328+6.117912e-05j),(0.00023593614333333328+6.117912e-05j),(0.00010847964333333333+2.549129999999998e-06j),(0.00010847964333333333+2.549129999999998e-06j),(0.00010847964333333333+2.549129999999998e-06j),0j,0j,0j,0j,0j,0j
line22,22,23,(0.00027248540666666664+7.065648e-05j),(0.00027248540666666664+7.065648e-05j),(0.00027248540666666664+7.065648e-05j),(0.00012528440666666665+2.944019999999998e-06j),(0.00012528440666666665+2.944019999999998e-06j),(0.00012528440666666665+2.944019999999998e-06j),0j,0j,0j,0j,0j,0j
line23,23,24,(0.00015828110666666663+4.104288e-05j),(0.00015828110666666663+4.104288e-05j),(0.00015828110666666663+4.104288e-05j),(7.277510666666666e-05+1.7101199999999988e-06j),(7.277510666666666e-05+1.7101199999999988e-06j),(7.277510666666666e-05+1.7101199999999988e-06j),0j,0j,0j,0j,0j,0j
line24,24,25,(0.00037857073333333324+9.816479999999999e-05j),(0.00037857073333333324+9.816479999999999e-05j),(0.00037857073333333324+9.816479999999999e-05j),(0.00017406073333333332+4.090199999999997e-06j),(0.00017406073333333332+4.090199999999997e-06j),(0.00017406073333333332+4.090199999999997e-06j),0j,0j,0j,0j,0j,0j
line25,25,26,(0.0002009917933333333+5.211792e-05j),(0.0002009917933333333+5.211792e-05j),(0.0002009917933333333+5.211792e-05j),(9.241279333333332e-05+2.1715799999999983e-06j),(9.241279333333332e-05+2.1715799999999983e-06j),(9.241279333333332e-05+2.1715799999999983e-06j),0j,0j,0j,0j,0j,0j
line26,26,27,(0.00019464988666666663+5.047344e-05j),(0.00019464988666666663+5.047344e-05j),(0.00019464988666666663+5.047344e-05j),(8.949688666666665e-05+2.1030599999999983e-06j),(8.949688666666665e-05+2.1030599999999983e-06j),(8.949688666666665e-05+2.1030599999999983e-06j),0j,0j,0j,0j,0j,0j
line27,27,28,(0.0006333854333333332+0.00016423919999999998j),(0.0006333854333333332+0.00016423919999999998j),(0.0006333854333333332+0.00016423919999999998j),(0.0002912204333333333+6.843299999999995e-06j),(0.0002912204333333333+6.843299999999995e-06j),(0.0002912204333333333+6.843299999999995e-06j),0j,0j,0j,0j,0j,0j
line28,28,29,(0.0008426072666666666+0.0002184912j),(0.0008426072666666666+0.0002184912j),(0.0008426072666666666+0.0002184912j),(0.0003874172666666667+9.103799999999994e-06j),(0.0003874172666666667+9.103799999999994e-06j),(0.0003874172666666667+9.103799999999994e-06j),0j,0j,0j,0j,0j,0j
line29,29,30,(0.00029330938999999997+1.3871699999999998e-05j),(0.00029330938999999997+1.3871699999999998e-05j),(0.00029330938999999997+1.3871699999999998e-05j),0j,0j,0j,0j,0j,0j,0j,0j,0j
line30,29,31,(0.00032720239999999994+8.484479999999999e-05j),(0.00032720239999999994+8.484479999999999e-05j),(0.00032720239999999994+8.484479999999999e-05j),(0.00015044239999999998+3.535199999999997e-06j),(0.00015044239999999998+3.535199999999997e-06j),(0.00015044239999999998+3.535199999999997e-06j),0j,0j,0j,0j,0j,0j
line31,30,32,(0.0003124726+1.4778e-05j),(0.0003124726+1.4778e-05j),(0.0003124726+1.4778e-05j),0j,0j,0j,0j,0j,0j,0j,0j,0j
line32,31,33,(0.0011790004333333331+0.00030571920000000005j),(0.0011790004333333331+0.00030571920000000005j),(0.0011790004333333331+0.00030571920000000005j),(0.0005420854333333334+1.2738299999999991e-05j),(0.0005420854333333334+1.2738299999999991e-05j),(0.0005420854333333334+1.2738299999999991e-05j),0j,0j,0j,0j,0j,0j
