,busA,busB,Zaa,Zbb,Zcc,Zab,Zac,Zbc,Baa,Bbb,Bcc,Bab,Bac,Bbc
sourcez,sourcebus,sourcebusz,(0.5743393333333333+1.7234600000000002j),(0.5743393333333333+1.7234600000000002j),(0.5743393333333333+1.7234600000000002j),(0.5736053333333333+1.720523j),(0.5736053333333333+1.720523j),(0.5736053333333333+1.720523j),1.0555751316061702e-06j,1.0555751316061702e-06j,1.0555751316061702e-06j,-2.26194671058465e-07j,-2.26194671058465e-07j,-2.26194671058465e-07j
line1,1,2,(0.00012766935999999998+4.015665333333333e-05j),(0.00012766935999999998+4.015665333333333e-05j),(0.00012766935999999998+4.015665333333333e-05j),(7.871344e-05+5.119573333333333e-06j),(7.871344e-05+5.119573333333333e-06j),(7.871344e-05+5.119573333333333e-06j),0j,0j,0j,0j,0j,0j
line2,2,3,(1.7226425999999996e-05+5.418337e-06j),(1.7226425999999996e-05+5.418337e-06j),(1.7226425999999996e-05+5.418337e-06j),(1.0620803999999998e-05+6.907839999999999e-07j),(1.0620803999999998e-05+6.907839999999999e-07j),(1.0620803999999998e-05+6.907839999999999e-07j),0j,0j,0j,0j,0j,0j
line3,3,4,(1.7042619999999996e-05+5.360523333333333e-06j),(1.7042619999999996e-05+5.360523333333333e-06j),(1.7042619999999996e-05+5.360523333333333e-06j),(1.050748e-05+6.834133333333333e-07j),(1.050748e-05+6.834133333333333e-07j),(1.050748e-05+6.834133333333333e-07j),0j,0j,0j,0j,0j,0j
line4,4,5,(1.6928239999999998e-05+5.324546666666667e-06j),(1.6928239999999998e-05+5.324546666666667e-06j),(1.6928239999999998e-05+5.324546666666667e-06j),(1.0436959999999999e-05+6.788266666666666e-07j),(1.0436959999999999e-05+6.788266666666666e-07j),(1.0436959999999999e-05+6.788266666666666e-07j),0j,0j,0j,0j,0j,0j
line5,5,6,(1.690962e-05+5.31869e-06j),(1.690962e-05+5.31869e-06j),(1.690962e-05+5.31869e-06j),(1.0425479999999999e-05+6.7808e-07j),(1.0425479999999999e-05+6.7808e-07j),(1.0425479999999999e-05+6.7808e-07j),0j,0j,0j,0j,0j,0j
line6,6,7,(1.7156467999999997e-05+5.396332666666667e-06j),(1.7156467999999997e-05+5.396332666666667e-06j),(1.7156467999999997e-05+5.396332666666667e-06j),(1.0577671999999999e-05+6.879786666666666e-07j),(1.0577671999999999e-05+6.879786666666666e-07j),(1.0577671999999999e-05+6.879786666666666e-07j),0j,0j,0j,0j,0j,0j
line7,7,8,(1.6994473999999997e-05+5.345379666666667e-06j),(1.6994473999999997e-05+5.345379666666667e-06j),(1.6994473999999997e-05+5.345379666666667e-06j),(1.0477795999999999e-05+6.814826666666666e-07j),(1.0477795999999999e-05+6.814826666666666e-07j),(1.0477795999999999e-05+6.814826666666666e-07j),0j,0j,0j,0j,0j,0j
line8,8,9,(1.6867591999999996e-05+5.305470666666666e-06j),(1.6867591999999996e-05+5.305470666666666e-06j),(1.6867591999999996e-05+5.305470666666666e-06j),(1.0399567999999999e-05+6.763946666666665e-07j),(1.0399567999999999e-05+6.763946666666665e-07j),(1.0399567999999999e-05+6.763946666666665e-07j),0j,0j,0j,0j,0j,0j
line9,9,10,(1.7133591999999996e-05+5.3891373333333325e-06j),(1.7133591999999996e-05+5.3891373333333325e-06j),(1.7133591999999996e-05+5.3891373333333325e-06j),(1.0563567999999997e-05+6.870613333333333e-07j),(1.0563567999999997e-05+6.870613333333333e-07j),(1.0563567999999997e-05+6.870613333333333e-07j),0j,0j,0j,0j,0j,0j
line10,10,11,(0.00033135619999999995+0.00010422356666666667j),(0.00033135619999999995+0.00010422356666666667j),(0.00033135619999999995+0.00010422356666666667j),(0.00020429479999999997+1.3287466666666666e-05j),(0.00020429479999999997+1.3287466666666666e-05j),(0.00020429479999999997+1.3287466666666666e-05j),0j,0j,0j,0j,0j,0j
line11,11,12,(6.250467999999999e-05+1.9659993333333332e-05j),(6.250467999999999e-05+1.9659993333333332e-05j),(6.250467999999999e-05+1.9659993333333332e-05j),(3.8536719999999994e-05+2.506453333333333e-06j),(3.8536719999999994e-05+2.506453333333333e-06j),(3.8536719999999994e-05+2.506453333333333e-06j),0j,0j,0j,0j,0j,0j
line12,12,13,(6.237167999999998e-05+1.961816e-05j),(6.237167999999998e-05+1.961816e-05j),(6.237167999999998e-05+1.961816e-05j),(3.845471999999999e-05+2.5011199999999998e-06j),(3.845471999999999e-05+2.5011199999999998e-06j),(3.845471999999999e-05+2.5011199999999998e-06j),0j,0j,0j,0j,0j,0j
line13,13,14,(6.252064e-05+1.966501333333333e-05j),(6.252064e-05+1.966501333333333e-05j),(6.252064e-05+1.966501333333333e-05j),(3.854655999999999e-05+2.5070933333333333e-06j),(3.854655999999999e-05+2.5070933333333333e-06j),(3.854655999999999e-05+2.5070933333333333e-06j),0j,0j,0j,0j,0j,0j
line14,14,15,(6.245413999999999e-05+1.9644096666666666e-05j),(6.245413999999999e-05+1.9644096666666666e-05j),(6.245413999999999e-05+1.9644096666666666e-05j),(3.850556e-05+2.5044266666666662e-06j),(3.850556e-05+2.5044266666666662e-06j),(3.850556e-05+2.5044266666666662e-06j),0j,0j,0j,0j,0j,0j
line15,15,16,(3.2712679999999995e-05+1.0289326666666667e-05j),(3.2712679999999995e-05+1.0289326666666667e-05j),(3.2712679999999995e-05+1.0289326666666667e-05j),(2.0168719999999997e-05+1.3117866666666666e-06j),(2.0168719999999997e-05+1.3117866666666666e-06j),(2.0168719999999997e-05+1.3117866666666666e-06j),0j,0j,0j,0j,0j,0j
line16,16,17,(3.2723319999999994e-05+1.0292673333333333e-05j),(3.2723319999999994e-05+1.0292673333333333e-05j),(3.2723319999999994e-05+1.0292673333333333e-05j),(2.017528e-05+1.3122133333333332e-06j),(2.017528e-05+1.3122133333333332e-06j),(2.017528e-05+1.3122133333333332e-06j),0j,0j,0j,0j,0j,0j
line17,17,18,(3.280311999999999e-05+1.0317773333333332e-05j),(3.280311999999999e-05+1.0317773333333332e-05j),(3.280311999999999e-05+1.0317773333333332e-05j),(2.0224479999999998e-05+1.3154133333333332e-06j),(2.0224479999999998e-05+1.3154133333333332e-06j),(2.0224479999999998e-05+1.3154133333333332e-06j),0j,0j,0j,0j,0j,0j
line18,18,19,(3.2723319999999994e-05+1.0292673333333333e-05j),(3.2723319999999994e-05+1.0292673333333333e-05j),(3.2723319999999994e-05+1.0292673333333333e-05j),(2.017528e-05+1.3122133333333332e-06j),(2.017528e-05+1.3122133333333332e-06j),(2.017528e-05+1.3122133333333332e-06j),0j,0j,0j,0j,0j,0j
line19,19,20,(0.0008245999999999999+0.00025936666666666666j),(0.0008245999999999999+0.00025936666666666666j),(0.0008245999999999999+0.00025936666666666666j),(0.0005083999999999999+3.3066666666666666e-05j),(0.0005083999999999999+3.3066666666666666e-05j),(0.0005083999999999999+3.3066666666666666e-05j),0j,0j,0j,0j,0j,0j
line20,20,21,(0.0002763119666666667+8.622216666666668e-05j),(0.0002763119666666667+8.622216666666668e-05j),(0.0002763119666666667+8.622216666666668e-05j),(0.00012712756666666665+3.208266666666664e-06j),(0.00012712756666666665+3.208266666666664e-06j),(0.00012712756666666665+3.208266666666664e-06j),0j,0j,0j,0j,0j,0j
line21,21,22,(6.401039666666667e-05+1.997421666666667e-05j),(6.401039666666667e-05+1.997421666666667e-05j),(6.401039666666667e-05+1.997421666666667e-05j),(2.9450356666666664e-05+7.432266666666661e-07j),(2.9450356666666664e-05+7.432266666666661e-07j),(2.9450356666666664e-05+7.432266666666661e-07j),0j,0j,0j,0j,0j,0j
line22,22,23,(5.4704303333333335e-05+1.7070283333333335e-05j),(5.4704303333333335e-05+1.7070283333333335e-05j),(5.4704303333333335e-05+1.7070283333333335e-05j),(2.5168743333333333e-05+6.351733333333328e-07j),(2.5168743333333333e-05+6.351733333333328e-07j),(2.5168743333333333e-05+6.351733333333328e-07j),0j,0j,0j,0j,0j,0j
line23,23,24,(6.833961333333334e-05+2.1325133333333334e-05j),(6.833961333333334e-05+2.1325133333333334e-05j),(6.833961333333334e-05+2.1325133333333334e-05j),(3.144217333333333e-05+7.934933333333326e-07j),(3.144217333333333e-05+7.934933333333326e-07j),(3.144217333333333e-05+7.934933333333326e-07j),0j,0j,0j,0j,0j,0j
line24,24,25,(5.284170666666667e-05+1.6489066666666668e-05j),(5.284170666666667e-05+1.6489066666666668e-05j),(5.284170666666667e-05+1.6489066666666668e-05j),(2.4311786666666664e-05+6.135466666666662e-07j),(2.4311786666666664e-05+6.135466666666662e-07j),(2.4311786666666664e-05+6.135466666666662e-07j),0j,0j,0j,0j,0j,0j
line25,25,26,(6.591663e-05+2.056905e-05j),(6.591663e-05+2.056905e-05j),(6.591663e-05+2.056905e-05j),(3.0327389999999996e-05+7.653599999999993e-07j),(3.0327389999999996e-05+7.653599999999993e-07j),(3.0327389999999996e-05+7.653599999999993e-07j),0j,0j,0j,0j,0j,0j
line26,26,27,(5.6527856666666664e-05+1.7639316666666666e-05j),(5.6527856666666664e-05+1.7639316666666666e-05j),(5.6527856666666664e-05+1.7639316666666666e-05j),(2.6007736666666663e-05+6.56346666666666e-07j),(2.6007736666666663e-05+6.56346666666666e-07j),(2.6007736666666663e-05+6.56346666666666e-07j),0j,0j,0j,0j,0j,0j
line27,27,28,(4.0386883333333335e-05+1.2602583333333334e-05j),(4.0386883333333335e-05+1.2602583333333334e-05j),(4.0386883333333335e-05+1.2602583333333334e-05j),(1.858148333333333e-05+4.6893333333333295e-07j),(1.858148333333333e-05+4.6893333333333295e-07j),(1.858148333333333e-05+4.6893333333333295e-07j),0j,0j,0j,0j,0j,0j
line28,28,29,(6.994957666666667e-05+2.1827516666666667e-05j),(6.994957666666667e-05+2.1827516666666667e-05j),(6.994957666666667e-05+2.1827516666666667e-05j),(3.218289666666666e-05+8.12186666666666e-07j),(3.218289666666666e-05+8.12186666666666e-07j),(3.218289666666666e-05+8.12186666666666e-07j),0j,0j,0j,0j,0j,0j
line29,29,30,(5.791274666666667e-05+1.8071466666666668e-05j),(5.791274666666667e-05+1.8071466666666668e-05j),(5.791274666666667e-05+1.8071466666666668e-05j),(2.6644906666666662e-05+6.72426666666666e-07j),(2.6644906666666662e-05+6.72426666666666e-07j),(2.6644906666666662e-05+6.72426666666666e-07j),0j,0j,0j,0j,0j,0j
line30,30,31,(0.0015886962+0.000495747j),(0.0015886962+0.000495747j),(0.0015886962+0.000495747j),(0.0007309385999999999+1.8446399999999983e-05j),(0.0007309385999999999+1.8446399999999983e-05j),(0.0007309385999999999+1.8446399999999983e-05j),0j,0j,0j,0j,0j,0j
line31,31,32,(0.00011906838666666667+3.715486666666667e-05j),(0.00011906838666666667+3.715486666666667e-05j),(0.00011906838666666667+3.715486666666667e-05j),(5.478182666666666e-05+1.3825066666666655e-06j),(5.478182666666666e-05+1.3825066666666655e-06j),(5.478182666666666e-05+1.3825066666666655e-06j),0j,0j,0j,0j,0j,0j
