,busA,busB,Zaa,Zbb,Zcc,Zab,Zac,Zbc,Baa,Bbb,Bcc,Bab,Bac,Bbc
sourcez,sourcebus,sourcebusz,(0.5743393333333333+1.7234600000000002j),(0.5743393333333333+1.7234600000000002j),(0.5743393333333333+1.7234600000000002j),(0.5736053333333333+1.720523j),(0.5736053333333333+1.720523j),(0.5736053333333333+1.720523j),1.0555751316061702e-06j,1.0555751316061702e-06j,1.0555751316061702e-06j,-2.26194671058465e-07j,-2.26194671058465e-07j,-2.26194671058465e-07j
line1,1,2,(3.134578e-05+8.361420000000002e-06j),(3.134578e-05+8.361420000000002e-06j),(3.134578e-05+8.361420000000002e-06j),(1.416478e-05+5.726999999999999e-07j),(1.416478e-05+5.726999999999999e-07j),(1.416478e-05+5.726999999999999e-07j),0j,0j,0j,0j,0j,0j
line2,2,3,(3.6471556666666664e-05+9.728710000000001e-06j),(3.6471556666666664e-05+9.728710000000001e-06j),(3.6471556666666664e-05+9.728710000000001e-06j),(1.6481056666666666e-05+6.6635e-07j),(1.6481056666666666e-05+6.6635e-07j),(1.6481056666666666e-05+6.6635e-07j),0j,0j,0j,0j,0j,0j
line3,3,4,(1.1636580333333333e-05+3.104033000000001e-06j),(1.1636580333333333e-05+3.104033000000001e-06j),(1.1636580333333333e-05+3.104033000000001e-06j),(5.258430333333334e-06+2.12605e-07j),(5.258430333333334e-06+2.12605e-07j),(5.258430333333334e-06+2.12605e-07j),0j,0j,0j,0j,0j,0j
line4,4,5,(1.374080333333333e-05+3.6653300000000003e-06j),(1.374080333333333e-05+3.6653300000000003e-06j),(1.374080333333333e-05+3.6653300000000003e-06j),(6.209303333333333e-06+2.5104999999999996e-07j),(6.209303333333333e-06+2.5104999999999996e-07j),(6.209303333333333e-06+2.5104999999999996e-07j),0j,0j,0j,0j,0j,0j
line5,5,6,(1.7275755666666665e-05+4.608271000000001e-06j),(1.7275755666666665e-05+4.608271000000001e-06j),(1.7275755666666665e-05+4.608271000000001e-06j),(7.806705666666668e-06+3.15635e-07j),(7.806705666666668e-06+3.15635e-07j),(7.806705666666668e-06+3.15635e-07j),0j,0j,0j,0j,0j,0j
line6,6,7,(1.5943272666666663e-05+4.252834000000001e-06j),(1.5943272666666663e-05+4.252834000000001e-06j),(1.5943272666666663e-05+4.252834000000001e-06j),(7.204572666666667e-06+2.9128999999999996e-07j),(7.204572666666667e-06+2.9128999999999996e-07j),(7.204572666666667e-06+2.9128999999999996e-07j),0j,0j,0j,0j,0j,0j
line7,7,8,(2.0277331666666664e-05+5.408935000000001e-06j),(2.0277331666666664e-05+5.408935000000001e-06j),(2.0277331666666664e-05+5.408935000000001e-06j),(9.163081666666666e-06+3.7047499999999993e-07j),(9.163081666666666e-06+3.7047499999999993e-07j),(9.163081666666666e-06+3.7047499999999993e-07j),0j,0j,0j,0j,0j,0j
line8,8,9,(1.5093811333333333e-05+4.026242e-06j),(1.5093811333333333e-05+4.026242e-06j),(1.5093811333333333e-05+4.026242e-06j),(6.820711333333334e-06+2.7577e-07j),(6.820711333333334e-06+2.7577e-07j),(6.820711333333334e-06+2.7577e-07j),0j,0j,0j,0j,0j,0j
line9,9,10,(1.3238351333333333e-05+3.5313020000000004e-06j),(1.3238351333333333e-05+3.5313020000000004e-06j),(1.3238351333333333e-05+3.5313020000000004e-06j),(5.9822513333333336e-06+2.4187e-07j),(5.9822513333333336e-06+2.4187e-07j),(5.9822513333333336e-06+2.4187e-07j),0j,0j,0j,0j,0j,0j
line10,10,11,(1.891474533333333e-05+5.045468000000001e-06j),(1.891474533333333e-05+5.045468000000001e-06j),(1.891474533333333e-05+5.045468000000001e-06j),(8.547345333333333e-06+3.4557999999999995e-07j),(8.547345333333333e-06+3.4557999999999995e-07j),(8.547345333333333e-06+3.4557999999999995e-07j),0j,0j,0j,0j,0j,0j
line11,11,12,(2.9829666666666663e-05+7.957000000000002e-06j),(2.9829666666666663e-05+7.957000000000002e-06j),(2.9829666666666663e-05+7.957000000000002e-06j),(1.3479666666666667e-05+5.45e-07j),(1.3479666666666667e-05+5.45e-07j),(1.3479666666666667e-05+5.45e-07j),0j,0j,0j,0j,0j,0j
line12,12,13,(2.0473824333333332e-05+5.461349000000001e-06j),(2.0473824333333332e-05+5.461349000000001e-06j),(2.0473824333333332e-05+5.461349000000001e-06j),(9.251874333333334e-06+3.74065e-07j),(9.251874333333334e-06+3.74065e-07j),(9.251874333333334e-06+3.74065e-07j),0j,0j,0j,0j,0j,0j
line13,13,14,(8.014328333333333e-05+2.1378050000000004e-05j),(8.014328333333333e-05+2.1378050000000004e-05j),(8.014328333333333e-05+2.1378050000000004e-05j),(3.6215783333333336e-05+1.4642499999999998e-06j),(3.6215783333333336e-05+1.4642499999999998e-06j),(3.6215783333333336e-05+1.4642499999999998e-06j),0j,0j,0j,0j,0j,0j
line14,14,15,(8.744471e-06+2.3325690000000005e-06j),(8.744471e-06+2.3325690000000005e-06j),(8.744471e-06+2.3325690000000005e-06j),(3.951521e-06+1.59765e-07j),(3.951521e-06+1.59765e-07j),(3.951521e-06+1.59765e-07j),0j,0j,0j,0j,0j,0j
line15,15,16,(0.00047316966666666665+0.00012621700000000003j),(0.00047316966666666665+0.00012621700000000003j),(0.00047316966666666665+0.00012621700000000003j),(0.0002138196666666667+8.645e-06j),(0.0002138196666666667+8.645e-06j),(0.0002138196666666667+8.645e-06j),0j,0j,0j,0j,0j,0j
line16,16,17,(2.656810733333333e-05+7.086986000000001e-06j),(2.656810733333333e-05+7.086986000000001e-06j),(2.656810733333333e-05+7.086986000000001e-06j),(1.2005807333333333e-05+4.8541e-07j),(1.2005807333333333e-05+4.8541e-07j),(1.2005807333333333e-05+4.8541e-07j),0j,0j,0j,0j,0j,0j
line17,17,18,(1.9148730333333334e-05+5.107883000000002e-06j),(1.9148730333333334e-05+5.107883000000002e-06j),(1.9148730333333334e-05+5.107883000000002e-06j),(8.653080333333334e-06+3.49855e-07j),(8.653080333333334e-06+3.49855e-07j),(8.653080333333334e-06+3.49855e-07j),0j,0j,0j,0j,0j,0j
line18,18,19,(1.0129497999999998e-05+2.7020220000000003e-06j),(1.0129497999999998e-05+2.7020220000000003e-06j),(1.0129497999999998e-05+2.7020220000000003e-06j),(4.577398e-06+1.8506999999999998e-07j),(4.577398e-06+1.8506999999999998e-07j),(4.577398e-06+1.8506999999999998e-07j),0j,0j,0j,0j,0j,0j
line19,19,20,(0.00011540249666666666+3.0783370000000005e-05j),(0.00011540249666666666+3.0783370000000005e-05j),(0.00011540249666666666+3.0783370000000005e-05j),(5.2148996666666674e-05+2.1084499999999997e-06j),(5.2148996666666674e-05+2.1084499999999997e-06j),(5.2148996666666674e-05+2.1084499999999997e-06j),0j,0j,0j,0j,0j,0j
line20,20,21,(1.0644812333333333e-05+2.8394810000000006e-06j),(1.0644812333333333e-05+2.8394810000000006e-06j),(1.0644812333333333e-05+2.8394810000000006e-06j),(4.810262333333334e-06+1.9448499999999998e-07j),(4.810262333333334e-06+1.9448499999999998e-07j),(4.810262333333334e-06+1.9448499999999998e-07j),0j,0j,0j,0j,0j,0j
line21,21,22,(1.5770862666666664e-05+4.2068440000000005e-06j),(1.5770862666666664e-05+4.2068440000000005e-06j),(1.5770862666666664e-05+4.2068440000000005e-06j),(7.126662666666667e-06+2.8814e-07j),(7.126662666666667e-06+2.8814e-07j),(7.126662666666667e-06+2.8814e-07j),0j,0j,0j,0j,0j,0j
line22,22,23,(2.125459533333333e-05+5.669618000000001e-06j),(2.125459533333333e-05+5.669618000000001e-06j),(2.125459533333333e-05+5.669618000000001e-06j),(9.604695333333334e-06+3.8833e-07j),(9.604695333333334e-06+3.8833e-07j),(9.604695333333334e-06+3.8833e-07j),0j,0j,0j,0j,0j,0j
line23,23,24,(2.0979833999999995e-05+5.596326e-06j),(2.0979833999999995e-05+5.596326e-06j),(2.0979833999999995e-05+5.596326e-06j),(9.480534e-06+3.8330999999999996e-07j),(9.480534e-06+3.8330999999999996e-07j),(9.480534e-06+3.8330999999999996e-07j),0j,0j,0j,0j,0j,0j
line24,24,25,(1.2555826666666665e-05+3.3492400000000003e-06j),(1.2555826666666665e-05+3.3492400000000003e-06j),(1.2555826666666665e-05+3.3492400000000003e-06j),(5.673826666666666e-06+2.2939999999999998e-07j),(5.673826666666666e-06+2.2939999999999998e-07j),(5.673826666666666e-06+2.2939999999999998e-07j),0j,0j,0j,0j,0j,0j
line25,25,26,(0.0011020283+0.0002939637000000001j),(0.0011020283+0.0002939637000000001j),(0.0011020283+0.0002939637000000001j),(0.0004979933000000001+2.01345e-05j),(0.0004979933000000001+2.01345e-05j),(0.0004979933000000001+2.01345e-05j),0j,0j,0j,0j,0j,0j
line26,26,27,(0.0003168786333333333+8.45267e-05j),(0.0003168786333333333+8.45267e-05j),(0.0003168786333333333+8.45267e-05j),(0.00014319363333333332+5.789499999999999e-06j),(0.00014319363333333332+5.789499999999999e-06j),(0.00014319363333333332+5.789499999999999e-06j),0j,0j,0j,0j,0j,0j
line27,27,28,(1.9156666666666666e-05+5.110000000000001e-06j),(1.9156666666666666e-05+5.110000000000001e-06j),(1.9156666666666666e-05+5.110000000000001e-06j),(8.656666666666668e-06+3.5e-07j),(8.656666666666668e-06+3.5e-07j),(8.656666666666668e-06+3.5e-07j),0j,0j,0j,0j,0j,0j
line28,28,29,(2.823145333333333e-05+7.530680000000002e-06j),(2.823145333333333e-05+7.530680000000002e-06j),(2.823145333333333e-05+7.530680000000002e-06j),(1.2757453333333334e-05+5.158e-07j),(1.2757453333333334e-05+5.158e-07j),(1.2757453333333334e-05+5.158e-07j),0j,0j,0j,0j,0j,0j
line29,29,30,(3.179459333333333e-05+8.481140000000002e-06j),(3.179459333333333e-05+8.481140000000002e-06j),(3.179459333333333e-05+8.481140000000002e-06j),(1.4367593333333335e-05+5.809e-07j),(1.4367593333333335e-05+5.809e-07j),(1.4367593333333335e-05+5.809e-07j),0j,0j,0j,0j,0j,0j
line30,30,31,(2.9829666666666663e-05+7.957000000000002e-06j),(2.9829666666666663e-05+7.957000000000002e-06j),(2.9829666666666663e-05+7.957000000000002e-06j),(1.3479666666666667e-05+5.45e-07j),(1.3479666666666667e-05+5.45e-07j),(1.3479666666666667e-05+5.45e-07j),0j,0j,0j,0j,0j,0j
line31,31,32,(2.6932083999999995e-05+7.184076000000001e-06j),(2.6932083999999995e-05+7.184076000000001e-06j),(2.6932083999999995e-05+7.184076000000001e-06j),(1.2170284e-05+4.9206e-07j),(1.2170284e-05+4.9206e-07j),(1.2170284e-05+4.9206e-07j),0j,0j,0j,0j,0j,0j
line32,32,33,(2.387331166666666e-05+6.3681550000000005e-06j),(2.387331166666666e-05+6.3681550000000005e-06j),(2.387331166666666e-05+6.3681550000000005e-06j),(1.0788061666666667e-05+4.3617499999999995e-07j),(1.0788061666666667e-05+4.3617499999999995e-07j),(1.0788061666666667e-05+4.3617499999999995e-07j),0j,0j,0j,0j,0j,0j
line33,33,34,(2.3125927999999995e-05+6.168792000000001e-06j),(2.3125927999999995e-05+6.168792000000001e-06j),(2.3125927999999995e-05+6.168792000000001e-06j),(1.0450328e-05+4.2251999999999995e-07j),(1.0450328e-05+4.2251999999999995e-07j),(1.0450328e-05+4.2251999999999995e-07j),0j,0j,0j,0j,0j,0j
line34,34,35,(2.0327138999999997e-05+5.422221e-06j),(2.0327138999999997e-05+5.422221e-06j),(2.0327138999999997e-05+5.422221e-06j),(9.185589e-06+3.7138499999999996e-07j),(9.185589e-06+3.7138499999999996e-07j),(9.185589e-06+3.7138499999999996e-07j),0j,0j,0j,0j,0j,0j
line35,35,36,(1.8146836666666662e-05+4.84063e-06j),(1.8146836666666662e-05+4.84063e-06j),(1.8146836666666662e-05+4.84063e-06j),(8.200336666666666e-06+3.315499999999999e-07j),(8.200336666666666e-06+3.315499999999999e-07j),(8.200336666666666e-06+3.315499999999999e-07j),0j,0j,0j,0j,0j,0j
line36,36,37,(9.788509333333332e-05+2.6110640000000003e-05j),(9.788509333333332e-05+2.6110640000000003e-05j),(9.788509333333332e-05+2.6110640000000003e-05j),(4.423309333333333e-05+1.7883999999999999e-06j),(4.423309333333333e-05+1.7883999999999999e-06j),(4.423309333333333e-05+1.7883999999999999e-06j),0j,0j,0j,0j,0j,0j
line37,37,38,(0.0008531558333333333+0.00022757750000000006j),(0.0008531558333333333+0.00022757750000000006j),(0.0008531558333333333+0.00022757750000000006j),(0.00038553083333333336+1.55875e-05j),(0.00038553083333333336+1.55875e-05j),(0.00038553083333333336+1.55875e-05j),0j,0j,0j,0j,0j,0j
line38,38,39,(0.0016727053999999997+0.00044619060000000005j),(0.0016727053999999997+0.00044619060000000005j),(0.0016727053999999997+0.00044619060000000005j),(0.0007558754+3.0560999999999994e-05j),(0.0007558754+3.0560999999999994e-05j),(0.0007558754+3.0560999999999994e-05j),0j,0j,0j,0j,0j,0j
line39,39,40,(0.0013977524999999999+0.00037284750000000005j),(0.0013977524999999999+0.00037284750000000005j),(0.0013977524999999999+0.00037284750000000005j),(0.0006316275+2.5537499999999997e-05j),(0.0006316275+2.5537499999999997e-05j),(0.0006316275+2.5537499999999997e-05j),0j,0j,0j,0j,0j,0j
line40,40,41,(0.0010601846666666666+0.0002828020000000001j),(0.0010601846666666666+0.0002828020000000001j),(0.0010601846666666666+0.0002828020000000001j),(0.0004790846666666667+1.937e-05j),(0.0004790846666666667+1.937e-05j),(0.0004790846666666667+1.937e-05j),0j,0j,0j,0j,0j,0j
line41,41,42,(0.0009137182666666665+0.00024373240000000003j),(0.0009137182666666665+0.00024373240000000003j),(0.0009137182666666665+0.00024373240000000003j),(0.0004128982666666667+1.6694e-05j),(0.0004128982666666667+1.6694e-05j),(0.0004128982666666667+1.6694e-05j),0j,0j,0j,0j,0j,0j
line42,42,43,(0.001177286633333333+0.00031403870000000007j),(0.001177286633333333+0.00031403870000000007j),(0.001177286633333333+0.00031403870000000007j),(0.0005320016333333333+2.1509499999999998e-05j),(0.0005320016333333333+2.1509499999999998e-05j),(0.0005320016333333333+2.1509499999999998e-05j),0j,0j,0j,0j,0j,0j
line43,43,44,(0.0005865497666666666+0.00015646090000000004j),(0.0005865497666666666+0.00015646090000000004j),(0.0005865497666666666+0.00015646090000000004j),(0.0002650547666666667+1.07165e-05j),(0.0002650547666666667+1.07165e-05j),(0.0002650547666666667+1.07165e-05j),0j,0j,0j,0j,0j,0j
line44,44,45,(0.00010402343666666666+2.7748030000000005e-05j),(0.00010402343666666666+2.7748030000000005e-05j),(0.00010402343666666666+2.7748030000000005e-05j),(4.700693666666667e-05+1.90055e-06j),(4.700693666666667e-05+1.90055e-06j),(4.700693666666667e-05+1.90055e-06j),0j,0j,0j,0j,0j,0j
line45,45,46,(0.00011002768333333333+2.9349650000000008e-05j),(0.00011002768333333333+2.9349650000000008e-05j),(0.00011002768333333333+2.9349650000000008e-05j),(4.9720183333333335e-05+2.01025e-06j),(4.9720183333333335e-05+2.01025e-06j),(4.9720183333333335e-05+2.01025e-06j),0j,0j,0j,0j,0j,0j
line46,46,47,(0.0001614961733333333+4.307876000000001e-05j),(0.0001614961733333333+4.307876000000001e-05j),(0.0001614961733333333+4.307876000000001e-05j),(7.297817333333333e-05+2.9505999999999998e-06j),(7.297817333333333e-05+2.9505999999999998e-06j),(7.297817333333333e-05+2.9505999999999998e-06j),0j,0j,0j,0j,0j,0j
line47,47,48,(0.00020363536666666664+5.431930000000001e-05j),(0.00020363536666666664+5.431930000000001e-05j),(0.00020363536666666664+5.431930000000001e-05j),(9.202036666666666e-05+3.7204999999999998e-06j),(9.202036666666666e-05+3.7204999999999998e-06j),(9.202036666666666e-05+3.7204999999999998e-06j),0j,0j,0j,0j,0j,0j
line48,48,49,(0.0003054941+8.148990000000001e-05j),(0.0003054941+8.148990000000001e-05j),(0.0003054941+8.148990000000001e-05j),(0.0001380491+5.5815e-06j),(0.0001380491+5.5815e-06j),(0.0001380491+5.5815e-06j),0j,0j,0j,0j,0j,0j
line49,49,50,(0.00011994809999999999+3.199590000000001e-05j),(0.00011994809999999999+3.199590000000001e-05j),(0.00011994809999999999+3.199590000000001e-05j),(5.42031e-05+2.1915e-06j),(5.42031e-05+2.1915e-06j),(5.42031e-05+2.1915e-06j),0j,0j,0j,0j,0j,0j
line50,50,51,(5.541202666666666e-05+1.4781040000000002e-05j),(5.541202666666666e-05+1.4781040000000002e-05j),(5.541202666666666e-05+1.4781040000000002e-05j),(2.5040026666666668e-05+1.0123999999999998e-06j),(2.5040026666666668e-05+1.0123999999999998e-06j),(2.5040026666666668e-05+1.0123999999999998e-06j),0j,0j,0j,0j,0j,0j
line51,51,52,(0.0008278143+0.00022081770000000005j),(0.0008278143+0.00022081770000000005j),(0.0008278143+0.00022081770000000005j),(0.00037407930000000003+1.5124499999999999e-05j),(0.00037407930000000003+1.5124499999999999e-05j),(0.00037407930000000003+1.5124499999999999e-05j),0j,0j,0j,0j,0j,0j
line52,52,53,(9.914395999999998e-05+2.6446440000000004e-05j),(9.914395999999998e-05+2.6446440000000004e-05j),(9.914395999999998e-05+2.6446440000000004e-05j),(4.480196e-05+1.8113999999999997e-06j),(4.480196e-05+1.8113999999999997e-06j),(4.480196e-05+1.8113999999999997e-06j),0j,0j,0j,0j,0j,0j
line53,53,54,(2.6614630666666666e-05+7.099396000000002e-06j),(2.6614630666666666e-05+7.099396000000002e-06j),(2.6614630666666666e-05+7.099396000000002e-06j),(1.2026830666666668e-05+4.8626e-07j),(1.2026830666666668e-05+4.8626e-07j),(1.2026830666666668e-05+4.8626e-07j),0j,0j,0j,0j,0j,0j
line54,54,55,(1.862739533333333e-05+4.968818000000001e-06j),(1.862739533333333e-05+4.968818000000001e-06j),(1.862739533333333e-05+4.968818000000001e-06j),(8.417495333333335e-06+3.4033e-07j),(8.417495333333335e-06+3.4033e-07j),(8.417495333333335e-06+3.4033e-07j),0j,0j,0j,0j,0j,0j
line55,55,56,(4.071065333333333e-05+1.0859480000000002e-05j),(4.071065333333333e-05+1.0859480000000002e-05j),(4.071065333333333e-05+1.0859480000000002e-05j),(1.8396653333333334e-05+7.438e-07j),(1.8396653333333334e-05+7.438e-07j),(1.8396653333333334e-05+7.438e-07j),0j,0j,0j,0j,0j,0j
line56,56,57,(2.8521539999999994e-05+7.608060000000001e-06j),(2.8521539999999994e-05+7.608060000000001e-06j),(2.8521539999999994e-05+7.608060000000001e-06j),(1.288854e-05+5.210999999999999e-07j),(1.288854e-05+5.210999999999999e-07j),(1.288854e-05+5.210999999999999e-07j),0j,0j,0j,0j,0j,0j
line57,57,58,(2.75035e-05+7.336500000000002e-06j),(2.75035e-05+7.336500000000002e-06j),(2.75035e-05+7.336500000000002e-06j),(1.2428500000000001e-05+5.025e-07j),(1.2428500000000001e-05+5.025e-07j),(1.2428500000000001e-05+5.025e-07j),0j,0j,0j,0j,0j,0j
line58,58,59,(2.9235809999999996e-05+7.798590000000001e-06j),(2.9235809999999996e-05+7.798590000000001e-06j),(2.9235809999999996e-05+7.798590000000001e-06j),(1.321131e-05+5.341499999999999e-07j),(1.321131e-05+5.341499999999999e-07j),(1.321131e-05+5.341499999999999e-07j),0j,0j,0j,0j,0j,0j
line59,59,60,(0.00011321589999999999+3.0200100000000006e-05j),(0.00011321589999999999+3.0200100000000006e-05j),(0.00011321589999999999+3.0200100000000006e-05j),(5.116090000000001e-05+2.0684999999999998e-06j),(5.116090000000001e-05+2.0684999999999998e-06j),(5.116090000000001e-05+2.0684999999999998e-06j),0j,0j,0j,0j,0j,0j
line60,60,61,(4.008943e-05+1.0693770000000002e-05j),(4.008943e-05+1.0693770000000002e-05j),(4.008943e-05+1.0693770000000002e-05j),(1.8115930000000003e-05+7.3245e-07j),(1.8115930000000003e-05+7.3245e-07j),(1.8115930000000003e-05+7.3245e-07j),0j,0j,0j,0j,0j,0j
line61,61,62,(2.1543313666666663e-05+5.746633000000001e-06j),(2.1543313666666663e-05+5.746633000000001e-06j),(2.1543313666666663e-05+5.746633000000001e-06j),(9.735163666666666e-06+3.9360499999999996e-07j),(9.735163666666666e-06+3.9360499999999996e-07j),(9.735163666666666e-06+3.9360499999999996e-07j),0j,0j,0j,0j,0j,0j
line62,62,63,(1.9904323999999997e-05+5.309436000000001e-06j),(1.9904323999999997e-05+5.309436000000001e-06j),(1.9904323999999997e-05+5.309436000000001e-06j),(8.994524e-06+3.6366e-07j),(8.994524e-06+3.6366e-07j),(8.994524e-06+3.6366e-07j),0j,0j,0j,0j,0j,0j
line63,63,64,(2.1810959666666666e-05+5.818027000000001e-06j),(2.1810959666666666e-05+5.818027000000001e-06j),(2.1810959666666666e-05+5.818027000000001e-06j),(9.856109666666668e-06+3.98495e-07j),(9.856109666666668e-06+3.98495e-07j),(9.856109666666668e-06+3.98495e-07j),0j,0j,0j,0j,0j,0j
line64,64,65,(0.0003152092666666666+8.408140000000001e-05j),(0.0003152092666666666+8.408140000000001e-05j),(0.0003152092666666666+8.408140000000001e-05j),(0.00014243926666666668+5.758999999999999e-06j),(0.00014243926666666668+5.758999999999999e-06j),(0.00014243926666666668+5.758999999999999e-06j),0j,0j,0j,0j,0j,0j
line65,65,66,(0.004474031833333333+0.0006679874999999997j),(0.004474031833333333+0.0006679874999999997j),(0.004474031833333333+0.0006679874999999997j),(0.002033650833333333+1.7813000000000014e-05j),(0.002033650833333333+1.7813000000000014e-05j),(0.002033650833333333+1.7813000000000014e-05j),0j,0j,0j,0j,0j,0j
line66,66,67,(0.015165332+0.0006549969999999999j),(0.015165332+0.0006549969999999999j),(0.015165332+0.0006549969999999999j),(0.006150756500000001+3.8248e-05j),(0.006150756500000001+3.8248e-05j),(0.006150756500000001+3.8248e-05j),0j,0j,0j,0j,0j,0j
line67,66,68,(0.0009525244666666665+0.00014221499999999998j),(0.0009525244666666665+0.00014221499999999998j),(0.0009525244666666665+0.00014221499999999998j),(0.00043296566666666664+3.7924000000000033e-06j),(0.00043296566666666664+3.7924000000000033e-06j),(0.00043296566666666664+3.7924000000000033e-06j),0j,0j,0j,0j,0j,0j
line68,67,69,(0.010990557066666667+0.0004746867333333333j),(0.010990557066666667+0.0004746867333333333j),(0.010990557066666667+0.0004746867333333333j),(0.004457550966666668+2.7718933333333333e-05j),(0.004457550966666668+2.7718933333333333e-05j),(0.004457550966666668+2.7718933333333333e-05j),0j,0j,0j,0j,0j,0j
line69,68,70,(0.02804698666666667+0.0017965231999999996j),(0.02804698666666667+0.0017965231999999996j),(0.02804698666666667+0.0017965231999999996j),(0.0007580266666666674+0j),(0.0007580266666666674+0j),(0.0007580266666666674+0j),0j,0j,0j,0j,0j,0j
line70,68,71,(0.0011590839333333331+0.00017305499999999995j),(0.0011590839333333331+0.00017305499999999995j),(0.0011590839333333331+0.00017305499999999995j),(0.0005268563333333333+4.614800000000004e-06j),(0.0005268563333333333+4.614800000000004e-06j),(0.0005268563333333333+4.614800000000004e-06j),0j,0j,0j,0j,0j,0j
line71,69,72,(0.006990876533333332+0.0003019388666666666j),(0.006990876533333332+0.0003019388666666666j),(0.006990876533333332+0.0003019388666666666j),(0.002835360233333334+1.7631466666666665e-05j),(0.002835360233333334+1.7631466666666665e-05j),(0.002835360233333334+1.7631466666666665e-05j),0j,0j,0j,0j,0j,0j
line72,70,73,(0.00015436400000000001+9.887639999999998e-06j),(0.00015436400000000001+9.887639999999998e-06j),(0.00015436400000000001+9.887639999999998e-06j),(4.1720000000000034e-06+0j),(4.1720000000000034e-06+0j),(4.1720000000000034e-06+0j),0j,0j,0j,0j,0j,0j
line73,71,74,(0.010144906666666668+0.0006498223999999999j),(0.010144906666666668+0.0006498223999999999j),(0.010144906666666668+0.0006498223999999999j),(0.0002741866666666669+0j),(0.0002741866666666669+0j),(0.0002741866666666669+0j),0j,0j,0j,0j,0j,0j
