,busA,busB,Zaa,Zbb,Zcc,Zab,Zac,Zbc,Baa,Bbb,Bcc,Bab,Bac,Bbc
sourcez,sourcebus,sourcebusz,(0.5743393333333333+1.7234600000000002j),(0.5743393333333333+1.7234600000000002j),(0.5743393333333333+1.7234600000000002j),(0.5736053333333333+1.720523j),(0.5736053333333333+1.720523j),(0.5736053333333333+1.720523j),1.0555751316061702e-06j,1.0555751316061702e-06j,1.0555751316061702e-06j,-2.26194671058465e-07j,-2.26194671058465e-07j,-2.26194671058465e-07j
line1,1,2,(0.00024785628999999995+3.7005749999999994e-05j),(0.00024785628999999995+3.7005749999999994e-05j),(0.00024785628999999995+3.7005749999999994e-05j),(0.00011266195+9.868200000000008e-07j),(0.00011266195+9.868200000000008e-07j),(0.00011266195+9.868200000000008e-07j),0j,0j,0j,0j,0j,0j
line2,2,3,(2.5579817999999998e-05+3.819149999999999e-06j),(2.5579817999999998e-05+3.819149999999999e-06j),(2.5579817999999998e-05+3.819149999999999e-06j),(1.162719e-05+1.0184400000000009e-07j),(1.162719e-05+1.0184400000000009e-07j),(1.162719e-05+1.0184400000000009e-07j),0j,0j,0j,0j,0j,0j
line3,3,4,(2.112763766666666e-05+3.154424999999999e-06j),(2.112763766666666e-05+3.154424999999999e-06j),(2.112763766666666e-05+3.154424999999999e-06j),(9.603471666666666e-06+8.411800000000007e-08j),(9.603471666666666e-06+8.411800000000007e-08j),(9.603471666666666e-06+8.411800000000007e-08j),0j,0j,0j,0j,0j,0j
line4,4,5,(1.9941628666666662e-05+2.977349999999999e-06j),(1.9941628666666662e-05+2.977349999999999e-06j),(1.9941628666666662e-05+2.977349999999999e-06j),(9.064376666666665e-06+7.939600000000006e-08j),(9.064376666666665e-06+7.939600000000006e-08j),(9.064376666666665e-06+7.939600000000006e-08j),0j,0j,0j,0j,0j,0j
line5,5,6,(2.6524204666666663e-05+3.960149999999999e-06j),(2.6524204666666663e-05+3.960149999999999e-06j),(2.6524204666666663e-05+3.960149999999999e-06j),(1.2056456666666666e-05+1.0560400000000009e-07j),(1.2056456666666666e-05+1.0560400000000009e-07j),(1.2056456666666666e-05+1.0560400000000009e-07j),0j,0j,0j,0j,0j,0j
line6,6,7,(2.3367541999999994e-05+3.488849999999999e-06j),(2.3367541999999994e-05+3.488849999999999e-06j),(2.3367541999999994e-05+3.488849999999999e-06j),(1.0621609999999999e-05+9.303600000000007e-08j),(1.0621609999999999e-05+9.303600000000007e-08j),(1.0621609999999999e-05+9.303600000000007e-08j),0j,0j,0j,0j,0j,0j
line7,7,8,(2.1763591666666664e-05+3.2493749999999993e-06j),(2.1763591666666664e-05+3.2493749999999993e-06j),(2.1763591666666664e-05+3.2493749999999993e-06j),(9.892541666666667e-06+8.665000000000008e-08j),(9.892541666666667e-06+8.665000000000008e-08j),(9.892541666666667e-06+8.665000000000008e-08j),0j,0j,0j,0j,0j,0j
line8,8,9,(2.835018633333333e-05+4.232774999999999e-06j),(2.835018633333333e-05+4.232774999999999e-06j),(2.835018633333333e-05+4.232774999999999e-06j),(1.2886448333333332e-05+1.1287400000000009e-07j),(1.2886448333333332e-05+1.1287400000000009e-07j),(1.2886448333333332e-05+1.1287400000000009e-07j),0j,0j,0j,0j,0j,0j
line9,9,10,(3.410592166666666e-05+5.092124999999998e-06j),(3.410592166666666e-05+5.092124999999998e-06j),(3.410592166666666e-05+5.092124999999998e-06j),(1.5502691666666665e-05+1.357900000000001e-07j),(1.5502691666666665e-05+1.357900000000001e-07j),(1.5502691666666665e-05+1.357900000000001e-07j),0j,0j,0j,0j,0j,0j
