,busA,busB,Zaa,Zbb,Zcc,Zab,Zac,Zbc,Baa,Bbb,Bcc,Bab,Bac,Bbc
sourcez,sourcebus,sourcebusz,(0.5743393333333333+1.7234600000000002j),(0.5743393333333333+1.7234600000000002j),(0.5743393333333333+1.7234600000000002j),(0.5736053333333333+1.720523j),(0.5736053333333333+1.720523j),(0.5736053333333333+1.720523j),1.0555751316061702e-06j,1.0555751316061702e-06j,1.0555751316061702e-06j,-2.26194671058465e-07j,-2.26194671058465e-07j,-2.26194671058465e-07j
line1,1,2,(0.00020002933999999997+6.291649666666666e-05j),(0.00020002933999999997+6.291649666666666e-05j),(0.00020002933999999997+6.291649666666666e-05j),(0.00012332636+8.021226666666666e-06j),(0.00012332636+8.021226666666666e-06j),(0.00012332636+8.021226666666666e-06j),0j,0j,0j,0j,0j,0j
line2,1,3,(0.01738136666666667+0.0011133469999999998j),(0.01738136666666667+0.0011133469999999998j),(0.01738136666666667+0.0011133469999999998j),(0.00046976666666666706+0j),(0.00046976666666666706+0j),(0.00046976666666666706+0j),0j,0j,0j,0j,0j,0j
line3,2,4,(6.255255999999999e-05+1.9675053333333332e-05j),(6.255255999999999e-05+1.9675053333333332e-05j),(6.255255999999999e-05+1.9675053333333332e-05j),(3.856623999999999e-05+2.508373333333333e-06j),(3.856623999999999e-05+2.508373333333333e-06j),(3.856623999999999e-05+2.508373333333333e-06j),0j,0j,0j,0j,0j,0j
line4,4,5,(4.6858559999999996e-05+1.473872e-05j),(4.6858559999999996e-05+1.473872e-05j),(4.6858559999999996e-05+1.473872e-05j),(2.8890239999999996e-05+1.87904e-06j),(2.8890239999999996e-05+1.87904e-06j),(2.8890239999999996e-05+1.87904e-06j),0j,0j,0j,0j,0j,0j
line5,5,6,(0.00010359103999999998+3.258314666666667e-05j),(0.00010359103999999998+3.258314666666667e-05j),(0.00010359103999999998+3.258314666666667e-05j),(6.386815999999999e-05+4.154026666666666e-06j),(6.386815999999999e-05+4.154026666666666e-06j),(6.386815999999999e-05+4.154026666666666e-06j),0j,0j,0j,0j,0j,0j
line6,6,7,(0.0003648455999999999+0.00011475719999999999j),(0.0003648455999999999+0.00011475719999999999j),(0.0003648455999999999+0.00011475719999999999j),(0.00022494239999999995+1.4630399999999998e-05j),(0.00022494239999999995+1.4630399999999998e-05j),(0.00022494239999999995+1.4630399999999998e-05j),0j,0j,0j,0j,0j,0j
line7,7,8,(0.00022930263999999998+7.212401333333333e-05j),(0.00022930263999999998+7.212401333333333e-05j),(0.00022930263999999998+7.212401333333333e-05j),(0.00014137455999999998+9.195093333333333e-06j),(0.00014137455999999998+9.195093333333333e-06j),(0.00014137455999999998+9.195093333333333e-06j),0j,0j,0j,0j,0j,0j
line8,8,9,(3.954089999999999e-05+1.243705e-05j),(3.954089999999999e-05+1.243705e-05j),(3.954089999999999e-05+1.243705e-05j),(2.4378599999999997e-05+1.5856e-06j),(2.4378599999999997e-05+1.5856e-06j),(2.4378599999999997e-05+1.5856e-06j),0j,0j,0j,0j,0j,0j
line9,9,10,(3.939992e-05+1.2392706666666667e-05j),(3.939992e-05+1.2392706666666667e-05j),(3.939992e-05+1.2392706666666667e-05j),(2.4291679999999995e-05+1.5799466666666666e-06j),(2.4291679999999995e-05+1.5799466666666666e-06j),(2.4291679999999995e-05+1.5799466666666666e-06j),0j,0j,0j,0j,0j,0j
