,busA,busB,Zaa,Zbb,Zcc,Zab,Zac,Zbc,Baa,Bbb,Bcc,Bab,Bac,Bbc
sourcez,sourcebus,sourcebusz,(0.5743393333333333+1.7234600000000002j),(0.5743393333333333+1.7234600000000002j),(0.5743393333333333+1.7234600000000002j),(0.5736053333333333+1.720523j),(0.5736053333333333+1.720523j),(0.5736053333333333+1.720523j),1.0555751316061702e-06j,1.0555751316061702e-06j,1.0555751316061702e-06j,-2.26194671058465e-07j,-2.26194671058465e-07j,-2.26194671058465e-07j
line1,1,2,(0.00020474285999999998+6.439907e-05j),(0.00020474285999999998+6.439907e-05j),(0.00020474285999999998+6.439907e-05j),(0.00012623243999999997+8.21024e-06j),(0.00012623243999999997+8.21024e-06j),(0.00012623243999999997+8.21024e-06j),0j,0j,0j,0j,0j,0j
line2,2,3,(1.893255e-05+5.954975e-06j),(1.893255e-05+5.954975e-06j),(1.893255e-05+5.954975e-06j),(1.16727e-05+7.592e-07j),(1.16727e-05+7.592e-07j),(1.16727e-05+7.592e-07j),0j,0j,0j,0j,0j,0j
line3,3,4,(1.8960745999999995e-05+5.963843666666666e-06j),(1.8960745999999995e-05+5.963843666666666e-06j),(1.8960745999999995e-05+5.963843666666666e-06j),(1.1690083999999998e-05+7.603306666666666e-07j),(1.1690083999999998e-05+7.603306666666666e-07j),(1.1690083999999998e-05+7.603306666666666e-07j),0j,0j,0j,0j,0j,0j
line4,4,5,(1.8809125999999997e-05+5.916153666666666e-06j),(1.8809125999999997e-05+5.916153666666666e-06j),(1.8809125999999997e-05+5.916153666666666e-06j),(1.1596603999999998e-05+7.542506666666666e-07j),(1.1596603999999998e-05+7.542506666666666e-07j),(1.1596603999999998e-05+7.542506666666666e-07j),0j,0j,0j,0j,0j,0j
line5,5,6,(1.8893713999999997e-05+5.942759666666666e-06j),(1.8893713999999997e-05+5.942759666666666e-06j),(1.8893713999999997e-05+5.942759666666666e-06j),(1.1648755999999997e-05+7.576426666666665e-07j),(1.1648755999999997e-05+7.576426666666665e-07j),(1.1648755999999997e-05+7.576426666666665e-07j),0j,0j,0j,0j,0j,0j
line6,6,7,(1.9042407999999998e-05+5.989529333333333e-06j),(1.9042407999999998e-05+5.989529333333333e-06j),(1.9042407999999998e-05+5.989529333333333e-06j),(1.1740431999999998e-05+7.636053333333333e-07j),(1.1740431999999998e-05+7.636053333333333e-07j),(1.1740431999999998e-05+7.636053333333333e-07j),0j,0j,0j,0j,0j,0j
line7,7,8,(1.8968193999999996e-05+5.966186333333333e-06j),(1.8968193999999996e-05+5.966186333333333e-06j),(1.8968193999999996e-05+5.966186333333333e-06j),(1.1694675999999998e-05+7.606293333333333e-07j),(1.1694675999999998e-05+7.606293333333333e-07j),(1.1694675999999998e-05+7.606293333333333e-07j),0j,0j,0j,0j,0j,0j
line8,8,9,(1.8932815999999996e-05+5.955058666666666e-06j),(1.8932815999999996e-05+5.955058666666666e-06j),(1.8932815999999996e-05+5.955058666666666e-06j),(1.1672864e-05+7.592106666666666e-07j),(1.1672864e-05+7.592106666666666e-07j),(1.1672864e-05+7.592106666666666e-07j),0j,0j,0j,0j,0j,0j
line9,9,10,(1.8741296e-05+5.894818666666667e-06j),(1.8741296e-05+5.894818666666667e-06j),(1.8741296e-05+5.894818666666667e-06j),(1.1554784e-05+7.515306666666667e-07j),(1.1554784e-05+7.515306666666667e-07j),(1.1554784e-05+7.515306666666667e-07j),0j,0j,0j,0j,0j,0j
