,busA,busB,Zaa,Zbb,Zcc,Zab,Zac,Zbc,Baa,Bbb,Bcc,Bab,Bac,Bbc
sourcez,sourcebus,sourcebusz,(0.5743393333333333+1.7234600000000002j),(0.5743393333333333+1.7234600000000002j),(0.5743393333333333+1.7234600000000002j),(0.5736053333333333+1.720523j),(0.5736053333333333+1.720523j),(0.5736053333333333+1.720523j),1.0555751316061702e-06j,1.0555751316061702e-06j,1.0555751316061702e-06j,-2.26194671058465e-07j,-2.26194671058465e-07j,-2.26194671058465e-07j
line1,1,2,(0.00024293247999999996+7.641109333333333e-05j),(0.00024293247999999996+7.641109333333333e-05j),(0.00024293247999999996+7.641109333333333e-05j),(0.00014977791999999998+9.741653333333331e-06j),(0.00014977791999999998+9.741653333333331e-06j),(0.00014977791999999998+9.741653333333331e-06j),0j,0j,0j,0j,0j,0j
line2,2,3,(5.762091999999999e-05+1.8123873333333334e-05j),(5.762091999999999e-05+1.8123873333333334e-05j),(5.762091999999999e-05+1.8123873333333334e-05j),(3.5525679999999996e-05+2.3106133333333332e-06j),(3.5525679999999996e-05+2.3106133333333332e-06j),(3.5525679999999996e-05+2.3106133333333332e-06j),0j,0j,0j,0j,0j,0j
line3,3,4,(1.3099169999999998e-05+4.120164999999999e-06j),(1.3099169999999998e-05+4.120164999999999e-06j),(1.3099169999999998e-05+4.120164999999999e-06j),(8.076179999999998e-06+5.2528e-07j),(8.076179999999998e-06+5.2528e-07j),(8.076179999999998e-06+5.2528e-07j),0j,0j,0j,0j,0j,0j
line4,4,5,(1.3206367999999997e-05+4.153882666666666e-06j),(1.3206367999999997e-05+4.153882666666666e-06j),(1.3206367999999997e-05+4.153882666666666e-06j),(8.142271999999998e-06+5.295786666666666e-07j),(8.142271999999998e-06+5.295786666666666e-07j),(8.142271999999998e-06+5.295786666666666e-07j),0j,0j,0j,0j,0j,0j
line5,5,6,(1.3563339999999999e-05+4.2661633333333335e-06j),(1.3563339999999999e-05+4.2661633333333335e-06j),(1.3563339999999999e-05+4.2661633333333335e-06j),(8.362359999999999e-06+5.438933333333332e-07j),(8.362359999999999e-06+5.438933333333332e-07j),(8.362359999999999e-06+5.438933333333332e-07j),0j,0j,0j,0j,0j,0j
line6,6,7,(8.120713999999998e-06+2.5542596666666664e-06j),(8.120713999999998e-06+2.5542596666666664e-06j),(8.120713999999998e-06+2.5542596666666664e-06j),(5.006756e-06+3.2564266666666663e-07j),(5.006756e-06+3.2564266666666663e-07j),(5.006756e-06+3.2564266666666663e-07j),0j,0j,0j,0j,0j,0j
line7,7,8,(1.3484869999999996e-05+4.241481666666666e-06j),(1.3484869999999996e-05+4.241481666666666e-06j),(1.3484869999999996e-05+4.241481666666666e-06j),(8.313979999999999e-06+5.407466666666665e-07j),(8.313979999999999e-06+5.407466666666665e-07j),(8.313979999999999e-06+5.407466666666665e-07j),0j,0j,0j,0j,0j,0j
line8,8,9,(1.2990375999999998e-05+4.085945333333333e-06j),(1.2990375999999998e-05+4.085945333333333e-06j),(1.2990375999999998e-05+4.085945333333333e-06j),(8.009103999999999e-06+5.209173333333332e-07j),(8.009103999999999e-06+5.209173333333332e-07j),(8.009103999999999e-06+5.209173333333332e-07j),0j,0j,0j,0j,0j,0j
line9,9,10,(1.4120609999999997e-05+4.441445e-06j),(1.4120609999999997e-05+4.441445e-06j),(1.4120609999999997e-05+4.441445e-06j),(8.705939999999999e-06+5.662399999999999e-07j),(8.705939999999999e-06+5.662399999999999e-07j),(8.705939999999999e-06+5.662399999999999e-07j),0j,0j,0j,0j,0j,0j
