,busA,busB,Zaa,Zbb,Zcc,Zab,Zac,Zbc,Baa,Bbb,Bcc,Bab,Bac,Bbc
sourcez,sourcebus,sourcebusz,(0.5743393333333333+1.7234600000000002j),(0.5743393333333333+1.7234600000000002j),(0.5743393333333333+1.7234600000000002j),(0.5736053333333333+1.720523j),(0.5736053333333333+1.720523j),(0.5736053333333333+1.720523j),1.0555751316061702e-06j,1.0555751316061702e-06j,1.0555751316061702e-06j,-2.26194671058465e-07j,-2.26194671058465e-07j,-2.26194671058465e-07j
line1,1,2,(0.00010417623999999998+3.276721333333333e-05j),(0.00010417623999999998+3.276721333333333e-05j),(0.00010417623999999998+3.276721333333333e-05j),(6.422895999999998e-05+4.1774933333333325e-06j),(6.422895999999998e-05+4.1774933333333325e-06j),(6.422895999999998e-05+4.1774933333333325e-06j),0j,0j,0j,0j,0j,0j
line2,2,3,(1.0013038e-05+3.1494643333333335e-06j),(1.0013038e-05+3.1494643333333335e-06j),(1.0013038e-05+3.1494643333333335e-06j),(6.173452e-06+4.0152533333333333e-07j),(6.173452e-06+4.0152533333333333e-07j),(6.173452e-06+4.0152533333333333e-07j),0j,0j,0j,0j,0j,0j
line3,3,4,(9.899189999999998e-06+3.1136549999999998e-06j),(9.899189999999998e-06+3.1136549999999998e-06j),(9.899189999999998e-06+3.1136549999999998e-06j),(6.1032599999999986e-06+3.969599999999999e-07j),(6.1032599999999986e-06+3.969599999999999e-07j),(6.1032599999999986e-06+3.969599999999999e-07j),0j,0j,0j,0j,0j,0j
line4,4,5,(1.0139387999999999e-05+3.1892059999999996e-06j),(1.0139387999999999e-05+3.1892059999999996e-06j),(1.0139387999999999e-05+3.1892059999999996e-06j),(6.251351999999999e-06+4.0659199999999994e-07j),(6.251351999999999e-06+4.0659199999999994e-07j),(6.251351999999999e-06+4.0659199999999994e-07j),0j,0j,0j,0j,0j,0j
line5,5,6,(9.938557999999998e-06+3.1260376666666664e-06j),(9.938557999999998e-06+3.1260376666666664e-06j),(9.938557999999998e-06+3.1260376666666664e-06j),(6.127531999999999e-06+3.9853866666666665e-07j),(6.127531999999999e-06+3.9853866666666665e-07j),(6.127531999999999e-06+3.9853866666666665e-07j),0j,0j,0j,0j,0j,0j
line6,6,7,(9.995481999999999e-06+3.143942333333333e-06j),(9.995481999999999e-06+3.143942333333333e-06j),(9.995481999999999e-06+3.143942333333333e-06j),(6.162627999999999e-06+4.008213333333333e-07j),(6.162627999999999e-06+4.008213333333333e-07j),(6.162627999999999e-06+4.008213333333333e-07j),0j,0j,0j,0j,0j,0j
line7,7,8,(9.895998e-06+3.112651e-06j),(9.895998e-06+3.112651e-06j),(9.895998e-06+3.112651e-06j),(6.101291999999999e-06+3.9683199999999994e-07j),(6.101291999999999e-06+3.9683199999999994e-07j),(6.101291999999999e-06+3.9683199999999994e-07j),0j,0j,0j,0j,0j,0j
line8,8,9,(9.970477999999999e-06+3.1360776666666666e-06j),(9.970477999999999e-06+3.1360776666666666e-06j),(9.970477999999999e-06+3.1360776666666666e-06j),(6.147212e-06+3.9981866666666667e-07j),(6.147212e-06+3.9981866666666667e-07j),(6.147212e-06+3.9981866666666667e-07j),0j,0j,0j,0j,0j,0j
line9,9,10,(9.959837999999998e-06+3.1327309999999995e-06j),(9.959837999999998e-06+3.1327309999999995e-06j),(9.959837999999998e-06+3.1327309999999995e-06j),(6.140651999999998e-06+3.9939199999999993e-07j),(6.140651999999998e-06+3.9939199999999993e-07j),(6.140651999999998e-06+3.9939199999999993e-07j),0j,0j,0j,0j,0j,0j
