,busA,busB,Zaa,Zbb,Zcc,Zab,Zac,Zbc,Baa,Bbb,Bcc,Bab,Bac,Bbc
sourcez,sourcebus,sourcebusz,(0.5743393333333333+1.7234600000000002j),(0.5743393333333333+1.7234600000000002j),(0.5743393333333333+1.7234600000000002j),(0.5736053333333333+1.720523j),(0.5736053333333333+1.720523j),(0.5736053333333333+1.720523j),1.0555751316061702e-06j,1.0555751316061702e-06j,1.0555751316061702e-06j,-2.26194671058465e-07j,-2.26194671058465e-07j,-2.26194671058465e-07j
line1,1,2,(1.7261525e-05+4.604475000000001e-06j),(1.7261525e-05+4.604475000000001e-06j),(1.7261525e-05+4.604475000000001e-06j),(7.800275e-06+3.15375e-07j),(7.800275e-06+3.15375e-07j),(7.800275e-06+3.15375e-07j),0j,0j,0j,0j,0j,0j
line2,2,3,(3.1370409999999994e-05+8.367990000000001e-06j),(3.1370409999999994e-05+8.367990000000001e-06j),(3.1370409999999994e-05+8.367990000000001e-06j),(1.417591e-05+5.7315e-07j),(1.417591e-05+5.7315e-07j),(1.417591e-05+5.7315e-07j),0j,0j,0j,0j,0j,0j
line3,3,4,(9.916311666666667e-06+2.6451550000000008e-06j),(9.916311666666667e-06+2.6451550000000008e-06j),(9.916311666666667e-06+2.6451550000000008e-06j),(4.481061666666667e-06+1.81175e-07j),(4.481061666666667e-06+1.81175e-07j),(4.481061666666667e-06+1.81175e-07j),0j,0j,0j,0j,0j,0j
line4,4,5,(1.3465494666666665e-05+3.5918920000000005e-06j),(1.3465494666666665e-05+3.5918920000000005e-06j),(1.3465494666666665e-05+3.5918920000000005e-06j),(6.0848946666666665e-06+2.4602e-07j),(6.0848946666666665e-06+2.4602e-07j),(6.0848946666666665e-06+2.4602e-07j),0j,0j,0j,0j,0j,0j
line5,5,6,(1.7405199999999997e-05+4.642800000000001e-06j),(1.7405199999999997e-05+4.642800000000001e-06j),(1.7405199999999997e-05+4.642800000000001e-06j),(7.8652e-06+3.18e-07j),(7.8652e-06+3.18e-07j),(7.8652e-06+3.18e-07j),0j,0j,0j,0j,0j,0j
line6,6,7,(1.7465406666666667e-05+4.658860000000001e-06j),(1.7465406666666667e-05+4.658860000000001e-06j),(1.7465406666666667e-05+4.658860000000001e-06j),(7.892406666666667e-06+3.191e-07j),(7.892406666666667e-06+3.191e-07j),(7.892406666666667e-06+3.191e-07j),0j,0j,0j,0j,0j,0j
line7,7,8,(1.1392469666666665e-05+3.0389170000000005e-06j),(1.1392469666666665e-05+3.0389170000000005e-06j),(1.1392469666666665e-05+3.0389170000000005e-06j),(5.1481196666666665e-06+2.08145e-07j),(5.1481196666666665e-06+2.08145e-07j),(5.1481196666666665e-06+2.08145e-07j),0j,0j,0j,0j,0j,0j
line8,8,9,(1.9447574333333332e-05+5.187599000000001e-06j),(1.9447574333333332e-05+5.187599000000001e-06j),(1.9447574333333332e-05+5.187599000000001e-06j),(8.788124333333334e-06+3.5531499999999995e-07j),(8.788124333333334e-06+3.5531499999999995e-07j),(8.788124333333334e-06+3.5531499999999995e-07j),0j,0j,0j,0j,0j,0j
line9,9,10,(3.0182696666666663e-05+8.051170000000001e-06j),(3.0182696666666663e-05+8.051170000000001e-06j),(3.0182696666666663e-05+8.051170000000001e-06j),(1.3639196666666667e-05+5.514499999999999e-07j),(1.3639196666666667e-05+5.514499999999999e-07j),(1.3639196666666667e-05+5.514499999999999e-07j),0j,0j,0j,0j,0j,0j
line10,10,11,(1.9437995999999995e-05+5.185044000000001e-06j),(1.9437995999999995e-05+5.185044000000001e-06j),(1.9437995999999995e-05+5.185044000000001e-06j),(8.783796e-06+3.5513999999999994e-07j),(8.783796e-06+3.5513999999999994e-07j),(8.783796e-06+3.5513999999999994e-07j),0j,0j,0j,0j,0j,0j
line11,11,12,(1.4868857333333331e-05+3.966236e-06j),(1.4868857333333331e-05+3.966236e-06j),(1.4868857333333331e-05+3.966236e-06j),(6.719057333333334e-06+2.7166e-07j),(6.719057333333334e-06+2.7166e-07j),(6.719057333333334e-06+2.7166e-07j),0j,0j,0j,0j,0j,0j
line12,12,13,(8.148425e-05+2.1735750000000006e-05j),(8.148425e-05+2.1735750000000006e-05j),(8.148425e-05+2.1735750000000006e-05j),(3.6821750000000004e-05+1.48875e-06j),(3.6821750000000004e-05+1.48875e-06j),(3.6821750000000004e-05+1.48875e-06j),0j,0j,0j,0j,0j,0j
line13,13,14,(0.0003725150666666666+9.936760000000001e-05j),(0.0003725150666666666+9.936760000000001e-05j),(0.0003725150666666666+9.936760000000001e-05j),(0.00016833506666666666+6.805999999999999e-06j),(0.00016833506666666666+6.805999999999999e-06j),(0.00016833506666666666+6.805999999999999e-06j),0j,0j,0j,0j,0j,0j
line14,14,15,(1.4504333333333331e-05+3.8690000000000006e-06j),(1.4504333333333331e-05+3.8690000000000006e-06j),(1.4504333333333331e-05+3.8690000000000006e-06j),(6.5543333333333335e-06+2.6499999999999995e-07j),(6.5543333333333335e-06+2.6499999999999995e-07j),(6.5543333333333335e-06+2.6499999999999995e-07j),0j,0j,0j,0j,0j,0j
line15,15,16,(1.2651062666666664e-05+3.3746440000000006e-06j),(1.2651062666666664e-05+3.3746440000000006e-06j),(1.2651062666666664e-05+3.3746440000000006e-06j),(5.716862666666667e-06+2.3113999999999996e-07j),(5.716862666666667e-06+2.3113999999999996e-07j),(5.716862666666667e-06+2.3113999999999996e-07j),0j,0j,0j,0j,0j,0j
line16,16,17,(2.2500599666666663e-05+6.0019870000000014e-06j),(2.2500599666666663e-05+6.0019870000000014e-06j),(2.2500599666666663e-05+6.0019870000000014e-06j),(1.0167749666666668e-05+4.11095e-07j),(1.0167749666666668e-05+4.11095e-07j),(1.0167749666666668e-05+4.11095e-07j),0j,0j,0j,0j,0j,0j
